id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,val1,112,1.964,0.008,1.090,3.063
1,0,val1,113,1.982,0.003,1.080,3.064
2,0,val1,77,1.351,0.004,1.713,3.069
3,0,val1,118,2.072,0.010,1.011,3.094
4,0,val1,130,2.285,0.015,0.816,3.116
5,4,val1,0,0.033,0.004,3.084,3.120
6,0,val1,24,0.432,0.004,2.695,3.132
7,1,val1,94,1.655,0.008,1.471,3.134
8,1,val1,88,1.550,0.006,1.591,3.148
9,1,val1,30,0.545,0.004,2.620,3.170
10,4,val1,6,0.139,0.004,3.023,3.166
11,0,val1,36,0.640,0.004,2.551,3.195
12,1,val1,165,2.924,0.006,0.249,3.179
13,2,val1,160,2.821,0.008,0.361,3.189
14,0,val1,7,0.140,0.004,3.070,3.214
15,0,val3,72,1.264,0.010,1.942,3.215
16,2,val1,24,0.445,0.004,2.760,3.209
17,2,val1,136,2.401,0.006,0.804,3.211
18,4,val1,76,1.354,0.005,1.842,3.201
19,1,val1,106,1.867,0.012,1.324,3.202
20,1,val1,77,1.357,0.005,1.851,3.214
21,4,val1,147,2.594,0.008,0.632,3.233
22,2,val1,1,0.044,0.003,3.187,3.235
23,1,val1,36,0.649,0.003,2.577,3.230
24,2,val1,71,1.257,0.004,1.978,3.240
25,2,val1,83,1.467,0.004,1.771,3.242
26,2,val1,42,0.756,0.005,2.488,3.249
27,1,val1,135,2.384,0.028,0.830,3.241
28,4,val1,47,0.851,0.004,2.393,3.248
29,2,val1,106,1.876,0.009,1.368,3.253
30,2,val1,54,0.962,0.005,2.288,3.255
31,4,val1,118,2.083,0.003,1.169,3.255
32,1,val1,60,1.061,0.005,2.188,3.254
33,2,val1,89,1.574,0.006,1.676,3.257
34,4,val1,94,1.667,0.010,1.582,3.259
35,2,val1,112,1.983,0.011,1.268,3.261
36,1,val1,160,2.833,0.011,0.416,3.260
37,4,val1,18,0.348,0.004,2.911,3.262
38,2,val1,48,0.860,0.004,2.399,3.263
39,4,val1,124,2.189,0.004,1.074,3.268
40,2,val1,84,1.484,0.005,1.779,3.268
41,0,val1,143,2.518,0.003,0.750,3.271
42,4,val1,36,0.660,0.004,2.606,3.269
43,2,val1,19,0.359,0.003,2.909,3.272
44,1,val1,13,0.253,0.003,3.013,3.269
45,4,val1,165,2.915,0.020,0.338,3.273
