id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,1,val1,52,1.376,0.008,1.710,3.094
1,1,val1,36,0.956,0.005,2.136,3.098
2,1,val1,76,1.995,0.010,1.094,3.099
3,1,val1,113,2.955,0.007,0.139,3.101
4,3,val1,44,1.176,0.004,1.924,3.104
5,1,val1,65,1.712,0.005,1.389,3.106
6,2,val1,1,0.056,0.004,3.047,3.107
7,1,val1,57,1.504,0.004,1.603,3.110
8,1,val1,73,1.919,0.005,1.189,3.113
9,2,val1,13,0.362,0.005,2.747,3.114
10,4,val1,65,1.712,0.007,1.392,3.111
11,3,val1,12,0.342,0.005,2.766,3.113
12,1,val1,85,2.225,0.007,0.884,3.116
13,1,val1,69,1.816,0.005,1.296,3.116
14,2,val1,102,2.653,0.006,0.459,3.118
15,1,val1,105,2.748,0.014,0.358,3.119
16,1,val1,25,0.668,0.005,2.446,3.119
17,0,val1,21,0.558,0.005,2.556,3.119
18,3,val1,56,1.496,0.004,1.620,3.120
19,4,val1,2,0.092,0.004,3.025,3.121
20,4,val1,37,0.991,0.006,2.125,3.122
21,1,val1,13,0.359,0.004,2.759,3.122
22,2,val1,29,0.772,0.007,2.347,3.126
23,3,val1,52,1.390,0.004,1.731,3.124
24,3,val1,76,2.025,0.004,1.097,3.126
25,2,val1,37,0.983,0.005,2.140,3.128
26,4,val1,89,2.332,0.005,0.793,3.129
27,3,val1,96,2.545,0.009,0.573,3.127
28,0,val1,45,1.182,0.008,1.933,3.122
29,2,val1,42,1.110,0.004,2.016,3.130
30,2,val1,41,1.085,0.008,2.038,3.131
31,2,val1,25,0.670,0.006,2.456,3.132
32,2,val1,10,0.286,0.004,2.843,3.133
33,3,val1,80,2.128,0.005,0.996,3.129
34,3,val1,88,2.336,0.005,0.790,3.131
35,3,val1,21,0.571,0.005,2.555,3.131
36,0,val1,9,0.250,0.004,2.870,3.125
37,0,val1,54,1.412,0.004,1.710,3.126
38,0,val1,58,1.515,0.004,1.614,3.133
39,1,val1,93,2.434,0.008,0.693,3.135
40,2,val1,2,0.082,0.003,3.050,3.135
41,0,val1,82,2.132,0.007,0.996,3.135
42,1,val1,53,1.401,0.010,1.725,3.135
43,4,val1,86,2.254,0.005,0.875,3.134
44,3,val1,25,0.676,0.006,2.455,3.136
45,2,val1,86,2.242,0.010,0.884,3.137
46,2,val1,18,0.490,0.005,2.642,3.138
47,2,val1,34,0.905,0.006,2.227,3.138
48,1,val1,49,1.300,0.007,1.831,3.139
49,4,val1,18,0.503,0.005,2.632,3.140
50,4,val1,110,2.875,0.006,0.259,3.140
51,3,val1,17,0.469,0.005,2.665,3.140
52,3,val1,89,2.361,0.005,0.775,3.141
53,2,val1,111,2.885,0.006,0.250,3.141
54,0,val1,98,2.545,0.015,0.582,3.142
55,3,val1,101,2.674,0.005,0.464,3.144
56,1,val1,81,2.122,0.006,1.015,3.143
57,1,val1,14,0.384,0.005,2.754,3.143
58,1,val1,22,0.590,0.005,2.550,3.145
59,4,val1,57,1.507,0.004,1.635,3.146
60,1,val1,98,2.564,0.010,0.573,3.147
61,0,val1,29,0.763,0.007,2.378,3.148
62,0,val1,111,2.887,0.005,0.256,3.149
63,2,val1,90,2.345,0.011,0.791,3.148
64,1,val1,2,0.076,0.004,3.069,3.149
65,4,val1,22,0.606,0.005,2.538,3.149
66,4,val1,82,2.152,0.008,0.990,3.149
67,3,val1,105,2.778,0.006,0.363,3.147
68,3,val1,41,1.098,0.005,2.046,3.148
69,4,val1,30,0.812,0.007,2.334,3.152
70,4,val1,38,1.016,0.007,2.131,3.154
71,4,val1,50,1.325,0.010,1.821,3.155
72,2,val1,7,0.209,0.004,2.943,3.156
73,3,val1,65,1.739,0.005,1.412,3.156
74,0,val1,30,0.790,0.007,2.361,3.157
75,3,val1,10,0.291,0.004,2.865,3.160
76,4,val1,34,0.914,0.007,2.240,3.160
77,0,val1,34,0.897,0.005,2.259,3.161
78,4,val1,54,1.428,0.010,1.724,3.162
79,2,val1,15,0.413,0.005,2.744,3.162
80,1,val1,58,1.530,0.005,1.627,3.163
81,1,val1,7,0.204,0.004,2.957,3.165
82,1,val1,15,0.410,0.004,2.752,3.166
83,1,val1,95,2.486,0.006,0.676,3.167
84,1,val1,11,0.307,0.004,2.859,3.170
85,1,val1,107,2.799,0.005,0.367,3.171
86,4,val1,55,1.454,0.004,1.707,3.166
87,1,val1,27,0.719,0.006,2.448,3.173
88,1,val1,31,0.824,0.005,2.344,3.174
89,1,val1,35,0.930,0.004,2.240,3.175
90,1,val1,63,1.660,0.006,1.509,3.175
91,1,val1,80,2.096,0.004,1.077,3.176
92,1,val1,100,2.614,0.004,0.559,3.178
93,1,val1,71,1.867,0.009,1.303,3.179
94,0,val1,67,1.747,0.004,1.427,3.179
95,1,val1,60,1.582,0.005,1.593,3.180
96,2,val1,19,0.516,0.005,2.654,3.175
97,1,val1,20,0.538,0.005,2.638,3.182
98,1,val1,112,2.930,0.008,0.245,3.183
99,4,val1,103,2.693,0.004,0.475,3.173
100,4,val1,83,2.177,0.008,0.989,3.174
101,3,val1,54,1.446,0.006,1.720,3.171
102,3,val1,78,2.077,0.005,1.100,3.182
103,0,val1,42,1.104,0.007,2.074,3.185
104,0,val1,38,1.001,0.006,2.184,3.190
105,3,val1,82,2.180,0.005,1.005,3.190
106,0,val1,7,0.199,0.004,2.991,3.193
107,1,val3,109,2.851,0.003,0.341,3.195
108,3,val1,74,1.974,0.011,1.209,3.194
109,0,val1,19,0.506,0.005,2.684,3.195
110,0,val1,35,0.921,0.006,2.270,3.197
111,0,val1,51,1.335,0.006,1.857,3.198
112,1,val2,72,1.893,0.007,1.299,3.198
113,0,val1,43,1.130,0.007,2.063,3.200
114,3,val1,11,0.316,0.004,2.875,3.196
115,1,val1,32,0.851,0.005,2.344,3.200
116,0,val1,8,0.224,0.004,2.973,3.201
117,0,val1,52,1.360,0.005,1.837,3.202
118,1,val3,68,1.789,0.008,1.405,3.202
119,1,val2,61,1.607,0.005,1.591,3.203
120,0,val1,12,0.328,0.005,2.871,3.203
121,1,val2,28,0.745,0.006,2.452,3.203
122,0,val1,60,1.566,0.005,1.633,3.204
123,1,val3,44,1.167,0.005,2.032,3.204
124,0,val1,92,2.392,0.013,0.800,3.205
125,0,val1,88,2.290,0.011,0.906,3.206
126,3,val1,107,2.829,0.006,0.367,3.201
127,4,val1,11,0.323,0.004,2.879,3.206
128,0,val1,16,0.429,0.005,2.773,3.207
129,2,val1,67,1.752,0.005,1.445,3.202
