id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,val1,0,0.020,0.004,0.102,0.126
1,0,val2,12,0.628,0.003,0.207,0.838
2,0,val2,4,0.223,0.003,0.612,0.838
3,0,val2,14,0.730,0.003,0.105,0.839
4,0,val2,8,0.426,0.003,0.410,0.839
5,0,val2,6,0.325,0.004,0.511,0.839
6,0,val1,2,0.122,0.003,0.715,0.840
7,0,val2,10,0.527,0.005,0.308,0.840
8,1,val1,14,0.737,0.003,0.103,0.843
9,1,val3,10,0.535,0.003,0.306,0.844
10,1,val2,12,0.636,0.003,0.205,0.844
11,1,val2,6,0.333,0.003,0.513,0.848
12,1,val1,0,0.030,0.004,0.815,0.849
13,1,val2,8,0.434,0.003,0.411,0.849
14,1,val2,2,0.131,0.003,0.715,0.849
15,1,val2,4,0.232,0.003,0.614,0.850
16,2,val1,10,0.545,0.003,0.307,0.855
17,2,val1,2,0.141,0.003,0.712,0.856
18,2,val2,8,0.445,0.003,0.408,0.856
19,2,val1,12,0.647,0.004,0.207,0.858
20,2,val1,14,0.749,0.004,0.105,0.858
21,2,val1,6,0.344,0.004,0.510,0.858
22,2,val3,0,0.040,0.004,0.815,0.859
23,2,val3,4,0.243,0.004,0.612,0.859
24,3,val3,10,0.556,0.003,0.306,0.865
25,3,val2,12,0.657,0.004,0.205,0.866
26,3,val2,14,0.759,0.004,0.104,0.866
27,3,val3,2,0.151,0.003,0.715,0.869
28,3,val2,0,0.050,0.004,0.816,0.869
29,3,val3,4,0.253,0.004,0.613,0.870
30,3,val2,6,0.354,0.004,0.512,0.870
31,3,val1,8,0.456,0.004,0.410,0.870
32,4,val2,6,0.363,0.003,0.507,0.874
33,4,val1,10,0.565,0.003,0.306,0.875
34,4,val3,12,0.667,0.004,0.205,0.875
35,4,val1,14,0.769,0.004,0.104,0.877
36,4,val3,4,0.263,0.003,0.613,0.878
37,4,val2,8,0.465,0.004,0.410,0.878
38,4,val1,0,0.060,0.004,0.815,0.879
39,4,val2,2,0.161,0.003,0.715,0.879
40,0,val1,3,0.172,0.003,0.711,0.886
41,0,val3,1,0.071,0.003,0.812,0.886
42,0,val1,13,0.679,0.004,0.207,0.890
43,0,val2,11,0.578,0.004,0.309,0.890
44,0,val1,5,0.274,0.003,0.613,0.891
45,0,val2,7,0.375,0.004,0.512,0.891
46,0,val1,9,0.476,0.004,0.411,0.892
47,0,val3,15,0.781,0.006,0.105,0.892
48,1,val1,11,0.585,0.003,0.305,0.894
49,1,val2,13,0.687,0.003,0.204,0.894
50,1,val3,15,0.788,0.003,0.103,0.894
51,1,val3,9,0.484,0.003,0.412,0.900
52,1,val2,7,0.384,0.003,0.514,0.900
53,1,val1,5,0.282,0.004,0.614,0.900
54,1,val3,3,0.181,0.003,0.717,0.901
55,1,val3,1,0.080,0.003,0.818,0.901
56,2,val3,11,0.596,0.003,0.304,0.903
57,2,val1,13,0.698,0.003,0.204,0.905
58,2,val2,15,0.799,0.003,0.103,0.906
59,2,val1,9,0.495,0.003,0.411,0.909
60,2,val3,3,0.192,0.003,0.714,0.909
61,2,val1,1,0.090,0.003,0.816,0.910
62,2,val1,7,0.394,0.003,0.513,0.910
63,2,val1,5,0.293,0.004,0.613,0.910
64,3,val1,11,0.606,0.003,0.306,0.916
65,3,val1,13,0.708,0.003,0.205,0.916
66,3,val2,1,0.100,0.003,0.813,0.917
67,3,val1,15,0.810,0.004,0.103,0.917
68,3,val2,3,0.202,0.003,0.713,0.919
69,3,val1,5,0.304,0.004,0.612,0.919
70,3,val3,7,0.405,0.004,0.510,0.919
71,3,val1,9,0.506,0.004,0.409,0.920
72,4,val2,3,0.212,0.003,0.709,0.923
73,4,val2,13,0.718,0.003,0.209,0.930
74,4,val1,11,0.616,0.004,0.310,0.930
75,4,val3,1,0.110,0.003,0.817,0.931
76,4,val1,9,0.515,0.004,0.412,0.931
77,4,val3,5,0.313,0.004,0.615,0.931
78,4,val1,7,0.414,0.004,0.513,0.932
79,3,val3,29,1.518,0.004,0.311,1.832
80,3,val2,27,1.417,0.004,0.411,1.832
81,3,val3,25,1.315,0.004,0.514,1.833
82,3,val3,23,1.214,0.004,0.615,1.833
83,3,val1,21,1.113,0.003,0.717,1.833
84,3,val2,17,0.911,0.004,0.919,1.834
85,4,val2,17,0.920,0.004,0.913,1.837
86,4,val1,27,1.426,0.003,0.407,1.837
87,4,val3,29,1.527,0.004,0.307,1.838
88,4,val1,31,1.629,0.004,0.205,1.838
89,4,val1,33,1.730,0.005,0.103,1.838
90,4,val2,25,1.325,0.004,0.512,1.841
91,4,val3,23,1.224,0.004,0.613,1.841
92,4,val2,19,1.021,0.004,0.817,1.842
93,4,val2,21,1.123,0.004,0.715,1.842
94,4,val2,15,0.819,0.007,1.016,1.842
95,0,val2,34,1.740,0.003,0.103,1.846
96,0,val1,28,1.437,0.003,0.406,1.847
97,0,val3,32,1.639,0.004,0.204,1.847
98,0,val2,30,1.539,0.003,0.305,1.847
99,1,val3,28,1.445,0.003,0.406,1.854
100,1,val2,34,1.748,0.004,0.104,1.855
101,1,val1,32,1.647,0.004,0.205,1.856
102,0,val1,26,1.337,0.003,0.516,1.856
103,0,val3,16,0.832,0.003,1.021,1.856
104,0,val2,22,1.135,0.005,0.716,1.856
105,1,val2,30,1.546,0.004,0.307,1.857
106,0,val1,24,1.236,0.003,0.618,1.857
107,0,val1,18,0.932,0.003,0.922,1.857
108,0,val1,20,1.033,0.004,0.820,1.857
109,1,val2,26,1.344,0.003,0.515,1.862
110,1,val1,18,0.939,0.003,0.920,1.863
111,1,val1,20,1.040,0.004,0.819,1.863
112,1,val2,24,1.243,0.003,0.617,1.863
113,1,val2,22,1.142,0.004,0.718,1.864
114,1,val3,16,0.838,0.005,1.021,1.864
115,2,val1,18,0.950,0.003,0.915,1.869
116,2,val1,20,1.052,0.004,0.816,1.871
117,2,val3,30,1.559,0.004,0.309,1.872
118,2,val3,22,1.153,0.004,0.715,1.872
119,2,val3,16,0.850,0.004,1.018,1.872
120,2,val1,32,1.660,0.005,0.207,1.873
121,2,val2,34,1.762,0.005,0.105,1.873
122,2,val1,24,1.255,0.005,0.613,1.873
123,2,val2,26,1.357,0.005,0.512,1.874
124,2,val1,28,1.458,0.005,0.410,1.874
125,3,val2,24,1.264,0.003,0.609,1.876
126,3,val1,18,0.961,0.003,0.914,1.878
127,3,val2,30,1.568,0.004,0.306,1.878
128,3,val3,32,1.669,0.004,0.205,1.879
129,3,val1,34,1.771,0.005,0.103,1.879
130,3,val3,20,1.062,0.004,0.818,1.883
131,3,val1,28,1.467,0.005,0.411,1.883
132,3,val2,22,1.164,0.004,0.716,1.884
133,3,val3,26,1.366,0.005,0.514,1.884
134,3,val1,16,0.860,0.003,1.021,1.884
135,4,val1,18,0.971,0.003,0.911,1.885
136,4,val1,30,1.578,0.004,0.305,1.886
137,4,val1,34,1.781,0.004,0.103,1.887
138,4,val1,32,1.680,0.004,0.207,1.891
139,4,val3,28,1.477,0.003,0.411,1.891
140,4,val3,26,1.375,0.003,0.513,1.892
141,4,val1,20,1.072,0.003,0.816,1.892
142,4,val3,16,0.870,0.006,1.017,1.892
143,4,val2,22,1.173,0.004,0.716,1.893
144,4,val2,24,1.275,0.004,0.614,1.893
145,0,val1,33,1.690,0.003,0.203,1.896
146,0,val2,35,1.791,0.004,0.104,1.899
147,0,val3,31,1.589,0.003,0.307,1.899
148,0,val2,29,1.488,0.004,0.408,1.899
149,0,val3,19,0.983,0.003,0.914,1.899
150,0,val3,27,1.387,0.004,0.514,1.905
151,1,val1,27,1.394,0.003,0.508,1.905
152,0,val1,21,1.084,0.004,0.817,1.905
153,0,val3,25,1.286,0.004,0.615,1.905
