id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,val1,0,0.019,0.005,0.102,0.126
1,2,val2,1,0.055,0.003,0.824,0.883
2,2,val1,5,0.158,0.004,0.722,0.884
3,2,val2,21,0.566,0.005,0.313,0.884
4,2,val1,13,0.362,0.005,0.519,0.886
5,2,val2,25,0.671,0.006,0.209,0.886
6,3,val3,1,0.060,0.003,0.826,0.889
7,3,val3,13,0.367,0.004,0.519,0.890
8,3,val2,5,0.162,0.004,0.725,0.891
9,3,val2,9,0.264,0.004,0.623,0.891
10,3,val1,21,0.571,0.005,0.315,0.892
11,3,val1,25,0.675,0.006,0.211,0.892
12,4,val1,1,0.065,0.003,0.823,0.892
13,3,val2,17,0.470,0.005,0.418,0.892
14,4,val1,9,0.269,0.004,0.619,0.892
15,4,val3,5,0.167,0.004,0.722,0.893
16,3,val2,29,0.779,0.008,0.106,0.893
17,4,val3,21,0.575,0.006,0.313,0.894
18,4,val3,25,0.677,0.006,0.211,0.894
19,4,val1,13,0.372,0.004,0.518,0.895
20,4,val1,17,0.473,0.005,0.417,0.895
21,4,val2,29,0.783,0.007,0.106,0.896
22,0,val1,2,0.071,0.003,0.823,0.897
23,0,val2,6,0.174,0.005,0.719,0.898
24,0,val1,14,0.379,0.004,0.515,0.898
25,0,val2,10,0.276,0.004,0.618,0.898
26,0,val1,18,0.481,0.005,0.413,0.899
27,0,val2,22,0.584,0.005,0.311,0.899
28,0,val3,26,0.685,0.006,0.209,0.900
29,0,val1,30,0.789,0.006,0.105,0.900
30,1,val2,2,0.076,0.003,0.823,0.903
31,1,val1,6,0.179,0.004,0.722,0.905
32,1,val3,10,0.282,0.004,0.620,0.905
33,1,val1,14,0.383,0.004,0.519,0.906
34,1,val1,18,0.486,0.004,0.416,0.906
35,1,val1,22,0.588,0.005,0.313,0.906
36,1,val2,30,0.795,0.006,0.105,0.907
37,1,val1,26,0.691,0.006,0.210,0.907
38,2,val2,2,0.081,0.003,0.825,0.909
39,2,val3,6,0.183,0.004,0.723,0.909
40,2,val2,10,0.285,0.004,0.620,0.910
41,2,val1,14,0.387,0.005,0.520,0.911
42,2,val2,22,0.592,0.005,0.314,0.912
43,2,val1,18,0.489,0.005,0.418,0.912
44,2,val1,26,0.698,0.004,0.210,0.912
45,2,val3,30,0.801,0.006,0.106,0.913
46,3,val1,2,0.086,0.004,0.825,0.914
47,3,val2,14,0.393,0.004,0.517,0.915
48,3,val1,6,0.188,0.004,0.724,0.915
49,3,val1,10,0.290,0.004,0.621,0.915
50,4,val3,2,0.090,0.003,0.822,0.916
51,4,val1,6,0.193,0.004,0.720,0.916
52,3,val1,18,0.495,0.005,0.417,0.917
53,4,val2,10,0.295,0.004,0.618,0.917
54,3,val1,22,0.597,0.006,0.315,0.918
55,4,val3,14,0.397,0.005,0.515,0.917
