id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,mem4,0,0.017,0.018,0.103,0.138
1,2,mem4,1,0.111,0.013,0.836,0.960
2,3,mem4,1,0.124,0.013,0.823,0.960
3,1,mem4,9,0.639,0.015,0.306,0.960
4,0,mem4,3,0.219,0.014,0.727,0.961
5,3,mem4,10,0.733,0.015,0.214,0.961
6,1,mem4,12,0.842,0.015,0.105,0.961
7,0,mem4,6,0.422,0.014,0.526,0.962
8,4,mem5,2,0.207,0.014,0.744,0.965
9,3,mem5,7,0.531,0.014,0.421,0.966
10,2,mem5,4,0.313,0.014,0.639,0.966
11,1,mem5,1,0.098,0.013,0.856,0.966
12,0,mem5,9,0.625,0.016,0.326,0.967
13,2,mem5,7,0.515,0.016,0.436,0.967
14,4,mem5,10,0.745,0.015,0.208,0.968
15,3,mem5,4,0.328,0.014,0.627,0.968
16,2,mem5,12,0.850,0.014,0.104,0.969
17,1,mem5,6,0.438,0.015,0.516,0.969
18,1,mem5,3,0.233,0.014,0.722,0.969
19,2,mem4,9,0.649,0.017,0.310,0.976
20,4,mem4,7,0.542,0.015,0.420,0.977
21,4,mem4,1,0.139,0.013,0.825,0.977
22,0,mem4,11,0.759,0.014,0.205,0.978
23,1,mem5,0,0.031,0.021,0.932,0.983
24,4,mem5,4,0.341,0.014,0.629,0.984
25,0,mem5,8,0.558,0.017,0.409,0.984
26,2,mem5,3,0.245,0.014,0.725,0.985
27,2,mem5,6,0.447,0.021,0.516,0.985
28,3,mem5,12,0.867,0.014,0.104,0.986
29,3,mem5,9,0.665,0.014,0.307,0.986
30,3,mem4,0,0.057,0.020,0.915,0.991
31,3,mem4,6,0.463,0.016,0.513,0.992
32,2,mem4,0,0.044,0.021,0.928,0.993
33,0,mem4,2,0.152,0.015,0.826,0.993
34,0,mem4,5,0.355,0.013,0.626,0.994
35,1,mem4,11,0.775,0.014,0.205,0.994
36,1,mem5,8,0.573,0.014,0.409,0.995
37,3,mem5,3,0.260,0.013,0.722,0.996
38,4,mem5,12,0.879,0.014,0.103,0.996
39,4,mem5,9,0.678,0.013,0.306,0.997
40,4,mem5,6,0.475,0.016,0.507,0.998
41,1,mem4,5,0.370,0.013,0.623,1.006
42,2,mem4,11,0.783,0.017,0.205,1.006
43,4,mem5,3,0.274,0.014,0.722,1.010
