id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,mem5,0,0.019,-1744239927.978,0.000,-1744239927.959
1,1,mem5,0,0.027,-1744239927.986,0.000,-1744239927.959
2,3,mem5,0,0.043,-1744239928.002,0.000,-1744239927.959
3,4,mem5,0,0.051,-1744239928.010,0.000,-1744239927.959
4,1,mem5,1,0.067,-1744239928.026,0.000,-1744239927.959
5,4,mem5,1,0.091,-1744239928.050,0.000,-1744239927.959
6,0,mem5,2,0.100,-1744239928.059,0.000,-1744239927.959
7,1,mem5,2,0.107,-1744239928.067,0.000,-1744239927.959
8,3,mem5,2,0.124,-1744239928.083,0.000,-1744239927.959
9,4,mem5,2,0.132,-1744239928.091,0.000,-1744239927.959
10,0,mem5,3,0.141,-1744239928.100,0.000,-1744239927.959
11,1,mem5,3,0.148,-1744239928.107,0.000,-1744239927.959
12,2,mem4,0,0.035,0.020,0.105,0.159
13,2,mem5,3,0.158,-1744239928.117,0.000,-1744239927.959
14,4,mem5,3,0.173,-1744239928.132,0.000,-1744239927.959
15,0,mem5,4,0.181,-1744239928.141,0.000,-1744239927.959
16,3,mem5,4,0.206,-1744239928.165,0.000,-1744239927.959
17,1,mem5,5,0.231,-1744239928.190,0.000,-1744239927.959
18,2,mem5,5,0.238,-1744239928.197,0.000,-1744239927.959
19,3,mem5,5,0.247,-1744239928.206,0.000,-1744239927.959
20,1,mem5,7,0.311,-1744239928.270,0.000,-1744239927.959
21,0,mem5,8,0.345,-1744239928.304,0.000,-1744239927.959
22,1,mem5,8,0.352,-1744239928.311,0.000,-1744239927.959
23,2,mem5,8,0.359,-1744239928.318,0.000,-1744239927.959
24,1,mem5,9,0.393,-1744239928.352,0.000,-1744239927.959
25,1,mem5,10,0.433,-1744239928.392,0.000,-1744239927.959
26,4,mem5,10,0.457,-1744239928.416,0.000,-1744239927.959
27,1,mem5,11,0.474,-1744239928.433,0.000,-1744239927.959
28,3,mem5,11,0.490,-1744239928.449,0.000,-1744239927.959
29,0,mem5,12,0.508,-1744239928.467,0.000,-1744239927.959
30,1,mem5,12,0.514,-1744239928.473,0.000,-1744239927.959
31,3,mem5,12,0.531,-1744239928.490,0.000,-1744239927.959
32,2,mem5,13,0.561,-1744239928.520,0.000,-1744239927.959
33,4,mem5,13,0.581,-1744239928.540,0.000,-1744239927.959
34,0,mem5,14,0.589,-1744239928.548,0.000,-1744239927.959
35,2,mem5,14,0.602,-1744239928.561,0.000,-1744239927.959
36,3,mem5,14,0.612,-1744239928.571,0.000,-1744239927.959
37,0,mem5,15,0.630,-1744239928.589,0.000,-1744239927.959
38,1,mem5,15,0.637,-1744239928.596,0.000,-1744239927.959
39,3,mem5,15,0.652,-1744239928.611,0.000,-1744239927.959
40,0,mem5,16,0.670,-1744239928.629,0.000,-1744239927.959
41,1,mem5,16,0.678,-1744239928.638,0.000,-1744239927.959
42,2,mem5,16,0.683,-1744239928.642,0.000,-1744239927.959
43,4,mem5,16,0.701,-1744239928.660,0.000,-1744239927.959
44,1,mem5,18,0.759,-1744239928.718,0.000,-1744239927.959
45,2,mem5,18,0.764,-1744239928.723,0.000,-1744239927.959
46,3,mem5,18,0.775,-1744239928.734,0.000,-1744239927.959
47,0,mem5,19,0.792,-1744239928.751,0.000,-1744239927.959
48,2,mem5,19,0.804,-1744239928.763,0.000,-1744239927.959
49,3,mem5,19,0.815,-1744239928.775,0.000,-1744239927.959
50,4,mem5,19,0.822,-1744239928.781,0.000,-1744239927.959
51,0,mem5,20,0.833,-1744239928.792,0.000,-1744239927.959
52,1,mem5,20,0.841,-1744239928.800,0.000,-1744239927.959
53,4,mem5,20,0.862,-1744239928.821,0.000,-1744239927.959
54,0,mem5,21,0.875,-1744239928.834,0.000,-1744239927.959
