id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,3,val1,42,1.476,0.004,1.448,2.927
1,0,val1,15,0.530,0.005,2.393,2.928
2,3,val1,45,1.577,0.003,1.349,2.930
3,4,val1,78,2.705,0.006,0.218,2.930
4,4,val1,54,1.885,0.003,1.042,2.930
5,4,val1,3,0.150,0.003,2.778,2.931
6,2,val1,60,2.082,0.006,0.843,2.932
7,2,val1,63,2.185,0.005,0.742,2.933
8,2,val1,0,0.035,0.004,2.894,2.933
9,2,val1,15,0.546,0.005,2.385,2.935
10,3,val1,60,2.090,0.007,0.833,2.930
11,3,val1,48,1.680,0.005,1.250,2.935
12,0,val1,70,2.406,0.003,0.521,2.931
13,3,val1,12,0.448,0.004,2.483,2.935
14,4,val1,42,1.479,0.005,1.451,2.934
15,0,val1,4,0.156,0.003,2.804,2.963
16,0,val1,43,1.486,0.003,1.475,2.964
17,0,val1,31,1.074,0.004,1.888,2.966
18,4,val1,21,0.760,0.005,2.202,2.967
19,2,val1,1,0.070,0.003,2.895,2.968
20,2,val1,40,1.403,0.004,1.562,2.968
21,4,val1,33,1.172,0.006,1.790,2.968
22,1,val1,7,0.266,0.004,2.698,2.967
23,4,val1,30,1.070,0.007,1.892,2.969
24,4,val1,34,1.206,0.003,1.762,2.971
25,3,val1,21,0.754,0.006,2.211,2.971
26,4,val1,1,0.083,0.003,2.886,2.972
27,3,val1,24,0.857,0.006,2.109,2.972
28,4,val1,46,1.614,0.004,1.354,2.972
29,0,val1,10,0.361,0.004,2.607,2.973
30,0,val1,16,0.564,0.004,2.405,2.973
31,4,val1,67,2.329,0.004,0.641,2.974
32,1,val1,33,1.154,0.007,1.812,2.973
33,4,val1,82,2.844,0.012,0.119,2.974
34,1,val1,82,2.824,0.004,0.147,2.975
35,3,val1,36,1.270,0.006,1.698,2.974
36,3,val1,46,1.611,0.003,1.360,2.975
37,4,val1,76,2.636,0.015,0.326,2.977
38,1,val1,67,2.313,0.005,0.658,2.977
39,3,val1,30,1.063,0.007,1.907,2.977
40,0,val1,68,2.339,0.003,0.632,2.974
41,0,val1,58,1.998,0.006,0.971,2.975
42,4,val1,73,2.537,0.009,0.431,2.978
43,4,val1,49,1.716,0.005,1.257,2.978
44,3,val1,64,2.226,0.007,0.744,2.977
45,3,val1,52,1.815,0.004,1.159,2.978
46,0,val1,80,2.748,0.006,0.224,2.978
47,0,val1,44,1.520,0.005,1.455,2.979
48,0,val1,56,1.928,0.006,1.045,2.979
49,0,val1,50,1.724,0.005,1.251,2.980
50,0,val1,8,0.293,0.004,2.684,2.981
51,0,val1,49,1.690,0.004,1.287,2.981
52,1,val1,61,2.107,0.004,0.871,2.982
53,3,val1,70,2.431,0.008,0.539,2.979
54,1,val1,64,2.211,0.005,0.766,2.983
55,1,val1,73,2.519,0.015,0.450,2.984
56,2,val2,13,0.477,0.005,2.503,2.985
57,1,val1,58,2.005,0.008,0.972,2.985
58,2,val2,4,0.171,0.003,2.811,2.985
59,1,val1,22,0.776,0.006,2.203,2.986
60,2,val1,22,0.784,0.006,2.198,2.987
61,1,val1,70,2.417,0.008,0.562,2.987
62,1,val1,19,0.675,0.005,2.308,2.988
63,1,val1,37,1.291,0.008,1.691,2.990
64,4,val2,28,1.001,0.003,1.987,2.991
65,1,val1,2,0.096,0.003,2.892,2.991
66,4,val2,77,2.671,0.003,0.317,2.991
67,1,val1,56,1.937,0.004,1.051,2.991
68,4,val2,4,0.184,0.004,2.804,2.992
69,4,val1,31,1.104,0.003,1.885,2.992
70,4,val3,80,2.775,0.005,0.213,2.993
71,1,val1,47,1.630,0.003,1.359,2.992
72,1,val3,71,2.451,0.008,0.533,2.993
73,2,val3,7,0.273,0.004,2.716,2.993
74,2,val2,16,0.579,0.005,2.409,2.993
75,2,val3,10,0.375,0.004,2.614,2.993
76,1,val3,38,1.325,0.003,1.666,2.994
77,2,val1,59,2.048,0.004,0.942,2.994
78,2,val2,56,1.947,0.004,1.043,2.994
79,1,val1,26,0.913,0.007,2.075,2.994
80,2,val3,19,0.682,0.005,2.308,2.995
81,2,val3,31,1.097,0.007,1.891,2.995
82,2,val3,62,2.150,0.005,0.841,2.996
83,2,val3,65,2.253,0.005,0.739,2.996
84,1,val3,74,2.553,0.007,0.436,2.996
85,1,val1,29,1.016,0.007,1.974,2.997
86,3,val3,10,0.380,0.004,2.612,2.996
87,3,val2,7,0.279,0.004,2.715,2.998
88,1,val1,14,0.505,0.004,2.490,2.999
89,1,val3,5,0.197,0.003,2.799,3.000
90,0,val2,11,0.395,0.004,2.602,3.000
91,4,val2,22,0.795,0.003,2.202,3.000
92,4,val2,10,0.388,0.004,2.609,3.000
93,3,val2,16,0.584,0.005,2.412,3.001
94,3,val2,37,1.304,0.008,1.689,3.001
95,2,val3,71,2.460,0.005,0.532,2.997
96,2,val2,68,2.357,0.006,0.634,2.997
97,3,val3,13,0.482,0.004,2.517,3.003
98,0,val2,23,0.801,0.004,2.198,3.004
99,0,val2,14,0.496,0.005,2.503,3.004
100,1,val3,8,0.300,0.004,2.701,3.004
101,1,val3,11,0.402,0.004,2.599,3.005
102,0,val2,17,0.598,0.005,2.403,3.006
103,3,val3,19,0.686,0.006,2.315,3.006
104,1,val2,41,1.427,0.003,1.576,3.006
105,1,val3,23,0.810,0.006,2.191,3.006
106,0,val2,3,0.123,0.003,2.881,3.007
107,4,val2,2,0.116,0.003,2.888,3.008
108,3,val3,28,0.993,0.004,2.012,3.009
109,3,val2,68,2.362,0.006,0.641,3.010
110,2,val2,5,0.205,0.003,2.803,3.011
111,1,val2,53,1.835,0.008,1.165,3.009
112,1,val2,20,0.709,0.005,2.295,3.009
113,1,val2,27,0.947,0.003,2.060,3.010
114,2,val2,11,0.409,0.004,2.598,3.011
115,2,val2,8,0.307,0.004,2.701,3.012
116,4,val2,5,0.218,0.003,2.787,3.009
117,2,val2,44,1.539,0.005,1.467,3.012
118,2,val1,74,2.563,0.005,0.468,3.036
119,2,val3,83,2.871,0.013,0.152,3.036
120,2,val1,80,2.769,0.011,0.257,3.036
121,1,val1,45,1.562,0.004,1.470,3.036
122,1,val3,32,1.120,0.006,1.911,3.037
123,3,val3,8,0.312,0.004,2.720,3.036
124,3,val2,71,2.465,0.007,0.579,3.051
