id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,val1,0,0.019,0.004,0.102,0.126
1,1,val1,0,0.023,0.004,0.102,0.129
2,0,val2,1,0.039,0.003,0.915,0.957
3,1,val1,20,0.436,0.004,0.517,0.957
4,1,val2,25,0.538,0.004,0.415,0.957
5,1,val2,35,0.744,0.006,0.208,0.958
6,1,val2,30,0.641,0.005,0.313,0.958
7,2,val2,25,0.545,0.003,0.410,0.958
8,0,val1,6,0.142,0.003,0.815,0.960
9,4,val1,0,0.035,0.004,0.922,0.961
10,2,val2,35,0.750,0.004,0.207,0.961
11,2,val2,40,0.853,0.004,0.105,0.962
12,2,val3,30,0.648,0.004,0.310,0.962
13,1,val1,1,0.044,0.003,0.916,0.963
14,0,val1,11,0.247,0.003,0.713,0.963
15,1,val1,6,0.148,0.003,0.812,0.963
16,3,val3,10,0.239,0.003,0.722,0.963
17,4,val2,10,0.242,0.003,0.718,0.963
18,4,val1,5,0.138,0.004,0.822,0.964
19,4,val3,15,0.344,0.004,0.616,0.964
20,0,val1,16,0.349,0.003,0.612,0.964
21,3,val2,15,0.341,0.004,0.620,0.965
22,0,val2,21,0.453,0.004,0.509,0.965
23,3,val2,20,0.445,0.004,0.517,0.965
24,0,val2,26,0.555,0.004,0.407,0.966
25,3,val3,25,0.547,0.004,0.415,0.966
26,4,val1,20,0.448,0.004,0.514,0.966
27,3,val2,35,0.752,0.005,0.208,0.966
28,4,val3,25,0.550,0.004,0.412,0.966
29,3,val1,30,0.650,0.005,0.313,0.967
30,2,val3,1,0.048,0.003,0.917,0.968
31,4,val2,30,0.652,0.004,0.311,0.967
32,4,val1,35,0.755,0.005,0.207,0.968
33,3,val2,40,0.855,0.006,0.107,0.968
34,2,val1,6,0.151,0.003,0.813,0.968
35,3,val1,1,0.052,0.003,0.915,0.969
36,4,val1,40,0.860,0.004,0.105,0.970
37,0,val2,31,0.658,0.004,0.308,0.970
38,3,val3,6,0.155,0.003,0.813,0.971
39,2,val3,11,0.256,0.003,0.712,0.971
40,2,val2,16,0.358,0.003,0.610,0.972
41,3,val1,11,0.260,0.003,0.709,0.972
42,0,val1,36,0.760,0.004,0.206,0.971
43,0,val1,41,0.864,0.004,0.105,0.973
44,1,val1,11,0.250,0.004,0.721,0.974
45,1,val2,16,0.351,0.004,0.619,0.975
46,2,val2,21,0.462,0.004,0.510,0.975
47,1,val1,26,0.559,0.004,0.412,0.975
48,2,val3,26,0.565,0.003,0.408,0.976
49,1,val3,21,0.455,0.004,0.517,0.976
50,1,val3,31,0.662,0.004,0.311,0.977
51,3,val1,16,0.362,0.004,0.611,0.977
52,0,val1,2,0.060,0.003,0.915,0.978
53,2,val2,31,0.668,0.004,0.305,0.977
54,0,val1,7,0.163,0.003,0.812,0.978
55,1,val3,36,0.765,0.005,0.208,0.977
56,1,val3,41,0.868,0.005,0.107,0.979
57,3,val3,21,0.465,0.004,0.510,0.980
58,2,val2,36,0.771,0.004,0.206,0.981
59,2,val3,41,0.873,0.005,0.103,0.981
60,1,val3,2,0.064,0.003,0.915,0.982
61,0,val3,12,0.267,0.003,0.713,0.983
62,0,val3,17,0.370,0.003,0.610,0.983
63,3,val2,26,0.568,0.005,0.410,0.983
64,3,val2,31,0.670,0.004,0.309,0.983
65,3,val1,36,0.773,0.005,0.206,0.984
66,2,val3,2,0.069,0.003,0.912,0.984
67,3,val1,41,0.875,0.005,0.104,0.985
68,1,val3,7,0.169,0.003,0.813,0.985
69,1,val1,12,0.270,0.004,0.712,0.986
70,0,val3,22,0.473,0.004,0.510,0.987
71,1,val2,17,0.373,0.004,0.611,0.988
72,2,val2,7,0.173,0.003,0.813,0.988
73,4,val3,1,0.056,0.003,0.930,0.989
74,4,val1,6,0.158,0.003,0.827,0.989
75,0,val2,27,0.575,0.004,0.409,0.988
76,4,val1,16,0.365,0.004,0.621,0.989
77,0,val1,32,0.678,0.004,0.307,0.989
78,0,val2,37,0.781,0.004,0.204,0.990
79,4,val3,11,0.262,0.003,0.724,0.990
80,4,val3,36,0.777,0.005,0.208,0.990
81,4,val1,21,0.469,0.004,0.518,0.991
82,4,val2,26,0.571,0.004,0.416,0.991
83,4,val1,31,0.673,0.005,0.314,0.991
84,4,val2,41,0.882,0.004,0.108,0.994
85,3,val3,2,0.072,0.003,0.915,0.990
86,0,val3,42,0.884,0.005,0.104,0.993
87,1,val3,22,0.477,0.004,0.513,0.993
88,1,val3,27,0.579,0.004,0.412,0.995
89,3,val2,7,0.176,0.003,0.811,0.991
90,3,val3,12,0.280,0.003,0.711,0.994
91,2,val2,17,0.379,0.003,0.613,0.995
92,1,val1,32,0.682,0.004,0.309,0.996
93,0,val3,3,0.081,0.003,0.912,0.996
94,2,val3,12,0.277,0.003,0.716,0.996
95,2,val1,22,0.483,0.004,0.510,0.996
96,1,val3,37,0.786,0.004,0.206,0.996
97,3,val3,17,0.383,0.004,0.611,0.998
98,1,val3,42,0.889,0.004,0.105,0.998
99,0,val1,8,0.184,0.003,0.811,0.999
100,2,val1,27,0.586,0.004,0.409,0.999
101,3,val2,22,0.486,0.004,0.512,1.001
102,2,val3,32,0.688,0.004,0.310,1.002
103,2,val1,37,0.791,0.004,0.208,1.003
104,3,val3,27,0.588,0.004,0.411,1.003
105,3,val1,32,0.691,0.004,0.308,1.004
106,3,val2,37,0.793,0.005,0.207,1.005
107,4,val1,2,0.076,0.003,0.925,1.004
108,4,val3,7,0.180,0.004,0.821,1.005
109,4,val1,12,0.283,0.003,0.719,1.005
110,3,val3,42,0.896,0.005,0.105,1.005
111,4,val1,22,0.488,0.004,0.513,1.005
112,2,val3,3,0.089,0.003,0.913,1.005
113,4,val1,27,0.591,0.005,0.410,1.006
114,4,val2,32,0.693,0.005,0.308,1.006
115,2,val3,8,0.194,0.003,0.810,1.007
116,1,val1,3,0.085,0.003,0.919,1.007
117,1,val3,13,0.291,0.004,0.713,1.008
118,2,val3,13,0.298,0.003,0.708,1.008
119,4,val1,42,0.902,0.003,0.102,1.008
120,2,val1,18,0.399,0.003,0.609,1.012
121,0,val1,13,0.287,0.004,0.722,1.013
122,0,val3,18,0.390,0.004,0.620,1.013
123,0,val3,23,0.494,0.004,0.516,1.013
124,0,val3,28,0.596,0.004,0.413,1.014
125,0,val1,38,0.802,0.004,0.208,1.014
126,4,val2,17,0.385,0.003,0.634,1.023
127,0,val2,33,0.699,0.004,0.322,1.025
128,1,val2,18,0.394,0.004,0.627,1.024
129,1,val2,8,0.189,0.003,0.833,1.026
130,4,val2,3,0.097,0.003,0.926,1.026
131,4,val2,37,0.797,0.004,0.225,1.026
132,1,val2,28,0.599,0.004,0.422,1.026
133,3,val2,3,0.093,0.003,0.930,1.026
134,1,val2,33,0.703,0.004,0.319,1.026
135,1,val2,23,0.496,0.004,0.526,1.027
136,1,val2,38,0.806,0.004,0.217,1.027
137,2,val2,42,0.894,0.004,0.128,1.026
138,2,val2,28,0.606,0.003,0.417,1.027
139,3,val2,13,0.300,0.003,0.723,1.027
140,2,val2,4,0.110,0.003,0.915,1.028
141,4,val2,13,0.303,0.003,0.721,1.027
142,3,val2,33,0.711,0.005,0.311,1.027
143,2,val1,43,0.915,0.004,0.110,1.028
144,3,val2,43,0.917,0.006,0.106,1.029
145,0,val2,29,0.617,0.003,0.409,1.030
146,2,val2,9,0.215,0.003,0.814,1.031
147,0,val2,44,0.925,0.005,0.102,1.032
148,4,val1,23,0.509,0.004,0.516,1.029
149,4,val1,18,0.407,0.003,0.619,1.029
150,4,val2,4,0.118,0.003,0.915,1.036
151,0,val1,43,0.906,0.005,0.128,1.038
152,1,val2,14,0.311,0.004,0.721,1.035
153,1,val2,29,0.621,0.004,0.411,1.036
154,1,val2,34,0.724,0.004,0.308,1.036
155,2,val1,23,0.504,0.003,0.535,1.042
156,4,val1,9,0.221,0.003,0.818,1.042
157,4,val1,33,0.714,0.005,0.324,1.043
158,0,val1,14,0.308,0.004,0.729,1.041
159,0,val1,34,0.719,0.004,0.319,1.043
160,0,val1,4,0.101,0.003,0.939,1.043
161,3,val1,18,0.404,0.004,0.634,1.042
162,2,val2,19,0.421,0.004,0.619,1.043
163,4,val1,28,0.612,0.004,0.427,1.044
164,2,val1,14,0.318,0.003,0.723,1.043
165,4,val3,38,0.818,0.004,0.221,1.044
166,1,val1,9,0.209,0.003,0.831,1.043
167,4,val3,8,0.200,0.003,0.841,1.044
168,4,val2,14,0.324,0.003,0.717,1.045
169,2,val3,33,0.710,0.003,0.331,1.044
170,2,val1,24,0.525,0.003,0.517,1.045
171,2,val3,38,0.811,0.004,0.230,1.045
172,3,val1,9,0.218,0.003,0.824,1.045
173,1,val3,24,0.517,0.004,0.523,1.044
174,2,val1,39,0.833,0.004,0.209,1.045
175,0,val3,9,0.205,0.003,0.836,1.044
176,3,val1,4,0.114,0.003,0.929,1.045
177,4,val2,19,0.427,0.003,0.617,1.047
178,1,val3,4,0.106,0.003,0.937,1.046
179,1,val3,19,0.414,0.004,0.628,1.046
180,1,val3,39,0.827,0.004,0.215,1.047
181,1,val3,43,0.909,0.004,0.134,1.047
182,0,val1,39,0.824,0.004,0.217,1.044
183,2,val1,34,0.730,0.004,0.313,1.047
184,3,val3,23,0.506,0.004,0.537,1.047
185,4,val3,43,0.923,0.004,0.120,1.048
186,0,val3,19,0.411,0.003,0.632,1.046
187,0,val3,10,0.226,0.003,0.818,1.047
188,0,val3,5,0.122,0.003,0.923,1.048
189,0,val3,24,0.514,0.004,0.530,1.048
190,0,val1,15,0.329,0.004,0.717,1.049
191,2,val3,29,0.628,0.004,0.417,1.048
192,3,val3,38,0.814,0.005,0.229,1.048
193,4,val2,24,0.530,0.003,0.515,1.048
194,2,val2,5,0.131,0.003,0.917,1.051
195,2,val2,0,0.027,0.004,1.020,1.052
196,2,val2,10,0.236,0.003,0.816,1.054
197,4,val3,29,0.632,0.004,0.414,1.050
198,3,val3,28,0.608,0.005,0.435,1.048
199,2,val2,15,0.338,0.003,0.714,1.055
200,0,val2,30,0.638,0.003,0.413,1.054
201,3,val3,8,0.197,0.003,0.850,1.050
202,4,val2,39,0.839,0.003,0.213,1.056
203,0,val3,35,0.740,0.004,0.311,1.055
204,3,val2,14,0.321,0.003,0.726,1.051
205,4,val3,34,0.734,0.004,0.317,1.056
206,0,val1,20,0.432,0.003,0.620,1.055
207,3,val3,19,0.424,0.003,0.623,1.051
208,0,val1,40,0.843,0.003,0.210,1.057
209,0,val1,25,0.535,0.004,0.519,1.058
210,3,val2,24,0.527,0.004,0.521,1.051
211,3,val3,29,0.629,0.005,0.418,1.052
212,3,val1,34,0.731,0.005,0.317,1.053
213,3,val1,39,0.834,0.005,0.215,1.054
214,3,val1,0,0.031,0.004,1.022,1.056
215,3,val2,5,0.134,0.003,0.919,1.057
216,2,val3,20,0.442,0.004,0.612,1.058
217,1,val1,5,0.127,0.004,0.930,1.060
218,1,val3,10,0.230,0.003,0.828,1.061
219,1,val3,15,0.331,0.004,0.727,1.062
220,1,val3,40,0.848,0.006,0.209,1.062
221,3,val2,54,1.143,0.004,0.815,1.962
222,2,val1,44,0.936,0.005,1.024,1.964
223,3,val2,59,1.248,0.004,0.713,1.965
224,4,val2,58,1.234,0.004,0.724,1.963
