id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,1,val1,27,2.760,0.005,0.207,2.972
1,1,val1,25,2.559,0.004,0.410,2.973
2,1,val1,24,2.458,0.005,0.512,2.976
3,1,val1,22,2.257,0.007,0.713,2.977
4,0,val1,18,1.835,0.004,1.140,2.980
5,0,val1,19,1.937,0.005,1.038,2.980
6,1,val1,21,2.157,0.004,0.817,2.978
7,1,val1,16,1.654,0.005,1.329,2.987
8,1,val1,18,1.855,0.007,1.126,2.988
9,1,val1,17,1.754,0.005,1.230,2.989
10,2,val1,28,2.880,0.005,0.106,2.991
11,2,val1,23,2.377,0.005,0.611,2.992
12,0,val1,5,0.525,0.005,2.465,2.996
13,0,val1,2,0.223,0.005,2.768,2.996
14,2,val2,25,2.578,0.006,0.415,2.998
15,4,val1,8,0.907,0.006,2.079,2.991
16,0,val1,4,0.425,0.007,2.565,2.997
17,2,val3,22,2.277,0.005,0.718,3.000
18,2,val3,24,2.477,0.006,0.519,3.003
19,2,val2,26,2.679,0.005,0.320,3.003
20,2,val3,19,1.975,0.005,1.023,3.004
21,4,val3,1,0.202,0.005,2.794,3.001
22,2,val2,21,2.176,0.005,0.823,3.004
23,4,val3,3,0.403,0.005,2.596,3.004
24,4,val3,4,0.504,0.006,2.495,3.005
25,0,val3,16,1.633,0.006,1.362,3.002
26,2,val3,20,2.076,0.005,0.927,3.007
27,4,val3,6,0.705,0.005,2.299,3.008
28,0,val3,13,1.331,0.005,1.669,3.006
29,4,val2,5,0.604,0.005,2.400,3.009
30,0,val3,14,1.432,0.005,1.568,3.006
31,0,val2,15,1.533,0.004,1.469,3.007
32,4,val3,2,0.303,0.006,2.700,3.009
33,0,val2,20,2.038,0.007,0.965,3.010
34,0,val3,12,1.231,0.005,1.773,3.010
35,0,val3,9,0.929,0.005,2.077,3.011
36,0,val2,8,0.828,0.005,2.179,3.011
37,4,val2,7,0.806,0.004,2.202,3.012
38,0,val3,10,1.030,0.005,1.977,3.012
39,4,val2,0,0.102,0.007,2.905,3.013
40,0,val3,1,0.123,0.006,2.885,3.013
41,0,val2,11,1.131,0.005,1.878,3.014
42,0,val3,0,0.022,0.006,2.987,3.014
43,0,val2,6,0.626,0.005,2.384,3.015
44,0,val2,7,0.727,0.005,2.283,3.015
45,1,val1,14,1.452,0.006,1.557,3.015
46,1,val1,9,0.949,0.004,2.062,3.015
47,0,val2,3,0.324,0.005,2.687,3.016
48,3,val1,24,2.498,0.006,0.512,3.016
49,1,val1,8,0.848,0.005,2.163,3.016
50,1,val2,15,1.553,0.006,1.458,3.017
51,3,val3,26,2.701,0.005,0.312,3.018
52,1,val3,12,1.251,0.005,1.762,3.019
53,1,val2,13,1.352,0.005,1.663,3.019
54,1,val3,11,1.150,0.004,1.865,3.020
55,3,val3,27,2.802,0.005,0.212,3.019
56,3,val3,22,2.297,0.005,0.717,3.020
57,1,val3,6,0.647,0.004,2.370,3.021
58,1,val2,7,0.748,0.005,2.269,3.021
59,1,val3,10,1.050,0.005,1.967,3.022
60,3,val3,21,2.197,0.005,0.820,3.022
61,3,val2,25,2.599,0.005,0.419,3.023
62,3,val2,23,2.397,0.006,0.621,3.024
63,3,val2,20,2.096,0.005,0.925,3.026
64,2,val3,17,1.774,0.004,1.248,3.026
65,2,val1,12,1.270,0.006,1.751,3.026
66,2,val3,18,1.874,0.006,1.147,3.027
67,2,val1,16,1.673,0.004,1.350,3.027
68,2,val3,14,1.471,0.005,1.553,3.028
69,3,val2,19,1.995,0.005,1.027,3.028
70,2,val3,15,1.572,0.004,1.454,3.029
71,2,val1,11,1.169,0.006,1.855,3.029
72,2,val2,9,0.967,0.005,2.058,3.030
73,3,val3,15,1.591,0.005,1.434,3.029
74,3,val1,17,1.793,0.005,1.232,3.030
75,3,val2,18,1.895,0.005,1.130,3.030
76,2,val2,13,1.370,0.006,1.654,3.030
77,3,val1,16,1.691,0.005,1.334,3.030
78,2,val3,10,1.068,0.006,1.957,3.031
79,2,val3,8,0.867,0.004,2.160,3.031
80,3,val1,14,1.490,0.006,1.535,3.031
81,2,val3,7,0.766,0.004,2.262,3.032
82,1,val1,1,0.143,0.004,2.886,3.032
83,1,val3,0,0.042,0.006,2.985,3.033
84,4,val3,26,2.722,0.005,0.307,3.033
85,1,val3,2,0.243,0.005,2.786,3.034
86,1,val3,5,0.546,0.006,2.483,3.035
87,4,val3,27,2.822,0.006,0.207,3.036
88,4,val2,22,2.319,0.005,0.716,3.041
89,1,val2,3,0.344,0.007,2.691,3.042
90,1,val2,4,0.445,0.005,2.593,3.043
91,4,val3,20,2.119,0.005,0.920,3.043
92,4,val2,18,1.917,0.005,1.122,3.044
93,4,val2,25,2.621,0.006,0.418,3.044
94,4,val2,24,2.521,0.006,0.519,3.045
95,3,val2,12,1.289,0.006,1.753,3.048
96,3,val3,6,0.686,0.005,2.358,3.048
97,3,val2,11,1.188,0.005,1.856,3.048
98,3,val2,7,0.786,0.005,2.258,3.049
99,3,val3,5,0.585,0.005,2.459,3.049
100,3,val2,9,0.987,0.006,2.057,3.050
101,3,val3,13,1.389,0.007,1.653,3.050
102,2,val2,6,0.665,0.006,2.380,3.051
103,2,val3,4,0.463,0.005,2.583,3.052
104,2,val2,5,0.564,0.007,2.481,3.052
105,2,val2,1,0.162,0.004,2.886,3.053
106,0,val2,25,2.541,0.005,0.515,3.061
107,0,val1,28,2.843,0.005,0.212,3.061
108,2,val1,3,0.363,0.004,2.695,3.062
109,2,val1,2,0.263,0.005,2.795,3.063
110,0,val2,26,2.641,0.005,0.417,3.063
111,2,val1,0,0.062,0.006,2.997,3.064
112,0,val3,21,2.139,0.004,0.920,3.063
113,0,val2,24,2.440,0.005,0.619,3.064
114,0,val3,23,2.340,0.005,0.720,3.064
115,3,val3,0,0.082,0.006,2.976,3.064
116,4,val1,21,2.219,0.006,0.841,3.065
117,0,val3,22,2.239,0.006,0.820,3.065
118,3,val2,4,0.485,0.005,2.576,3.066
119,3,val1,10,1.087,0.004,1.974,3.066
120,4,val3,13,1.413,0.004,1.648,3.066
121,4,val1,17,1.817,0.005,1.246,3.067
122,3,val2,1,0.183,0.004,2.880,3.067
123,4,val3,10,1.109,0.005,1.953,3.067
124,3,val2,2,0.283,0.005,2.779,3.067
125,4,val2,12,1.313,0.006,1.749,3.068
126,3,val1,8,0.887,0.007,2.175,3.068
127,4,val3,14,1.513,0.005,1.550,3.068
128,3,val1,3,0.384,0.005,2.680,3.069
129,4,val2,9,1.008,0.005,2.056,3.069
130,4,val3,15,1.614,0.007,1.448,3.069
131,4,val1,23,2.420,0.006,0.644,3.070
132,4,val1,16,1.715,0.005,1.349,3.070
133,4,val1,19,2.018,0.005,1.048,3.071
134,0,val1,17,1.734,0.005,1.333,3.071
135,4,val1,11,1.211,0.006,1.856,3.072
136,0,val1,27,2.741,0.005,0.326,3.072
137,1,val2,28,2.861,0.005,0.219,3.085
138,1,val3,23,2.358,0.005,0.725,3.088
139,1,val3,26,2.659,0.005,0.428,3.093
140,2,val2,27,2.779,0.005,0.310,3.094
141,1,val3,20,2.057,0.005,1.032,3.094
142,1,val2,19,1.955,0.005,1.134,3.095
143,3,val3,43,4.411,0.005,3.507,7.924
144,0,val3,34,3.448,0.006,4.469,7.923
145,3,val3,47,4.817,0.006,3.116,7.938
146,0,val3,30,3.044,0.010,4.886,7.940
147,0,val3,32,3.246,0.005,4.691,7.942
