id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,val2,0,0.019,0.005,0.102,0.126
1,2,val1,9,0.338,0.005,0.625,0.967
2,1,val1,6,0.229,0.005,0.734,0.968
3,1,val1,18,0.641,0.007,0.321,0.969
4,2,val1,15,0.540,0.007,0.423,0.970
5,1,val1,9,0.332,0.006,0.634,0.972
6,4,val1,15,0.557,0.006,0.411,0.973
7,4,val1,9,0.353,0.006,0.616,0.975
8,3,val1,9,0.346,0.006,0.622,0.974
9,3,val1,3,0.141,0.004,0.831,0.976
10,4,val1,18,0.659,0.005,0.311,0.975
11,4,val1,12,0.455,0.006,0.517,0.978
12,3,val1,21,0.756,0.007,0.213,0.977
13,3,val1,18,0.653,0.006,0.321,0.980
14,4,val1,24,0.864,0.006,0.108,0.979
15,3,val1,24,0.859,0.007,0.116,0.981
16,4,val3,3,0.147,0.004,0.829,0.981
17,3,val3,6,0.243,0.005,0.734,0.981
18,4,val2,6,0.250,0.004,0.727,0.981
19,3,val3,0,0.040,0.005,0.938,0.982
20,4,val1,21,0.761,0.008,0.213,0.982
21,3,val2,15,0.551,0.005,0.426,0.983
22,3,val3,12,0.448,0.006,0.530,0.983
23,0,val1,25,0.871,0.007,0.105,0.983
24,0,val3,1,0.053,0.005,0.925,0.984
25,0,val1,19,0.665,0.005,0.315,0.985
26,0,val3,4,0.155,0.004,0.826,0.985
27,4,val2,0,0.047,0.005,0.934,0.985
28,0,val2,13,0.462,0.005,0.518,0.986
29,1,val1,7,0.264,0.005,0.718,0.986
30,1,val1,10,0.366,0.004,0.617,0.988
31,1,val1,4,0.162,0.004,0.822,0.988
32,0,val3,7,0.259,0.005,0.725,0.988
33,0,val2,16,0.564,0.006,0.419,0.989
34,0,val3,10,0.361,0.005,0.624,0.989
35,0,val2,22,0.768,0.007,0.214,0.990
36,1,val3,13,0.468,0.004,0.517,0.989
37,1,val1,1,0.061,0.004,0.926,0.991
38,1,val2,19,0.674,0.006,0.312,0.992
39,1,val3,22,0.777,0.006,0.209,0.992
40,1,val2,16,0.571,0.006,0.416,0.992
41,1,val2,25,0.879,0.007,0.107,0.993
42,3,val1,1,0.073,0.004,0.916,0.993
43,2,val1,1,0.067,0.004,0.926,0.997
44,2,val2,10,0.371,0.005,0.620,0.997
45,2,val2,16,0.575,0.006,0.416,0.997
46,2,val3,22,0.782,0.007,0.209,0.998
47,2,val3,19,0.678,0.006,0.315,0.998
48,2,val1,4,0.168,0.004,0.827,0.999
49,3,val1,7,0.278,0.005,0.718,1.000
50,2,val1,13,0.472,0.005,0.524,1.001
51,3,val2,16,0.584,0.004,0.412,1.001
52,3,val1,4,0.175,0.004,0.822,1.001
53,3,val2,19,0.687,0.005,0.310,1.002
54,2,val1,25,0.885,0.008,0.110,1.002
55,3,val1,13,0.483,0.006,0.514,1.002
56,3,val3,25,0.893,0.006,0.105,1.003
57,3,val1,10,0.381,0.005,0.618,1.004
58,3,val1,22,0.789,0.005,0.210,1.004
59,2,val1,7,0.269,0.005,0.730,1.005
60,4,val2,16,0.590,0.005,0.410,1.005
61,4,val3,10,0.387,0.004,0.615,1.006
62,4,val2,13,0.488,0.007,0.511,1.006
63,4,val3,19,0.693,0.005,0.309,1.008
64,4,val2,25,0.897,0.007,0.104,1.008
65,4,val1,1,0.080,0.004,0.924,1.008
66,4,val3,22,0.795,0.007,0.207,1.009
67,4,val1,7,0.284,0.004,0.721,1.009
68,4,val1,4,0.182,0.005,0.824,1.010
69,0,val1,5,0.189,0.004,0.818,1.011
70,0,val2,8,0.292,0.004,0.718,1.014
71,0,val2,2,0.087,0.008,0.919,1.014
72,0,val1,14,0.497,0.004,0.515,1.016
73,0,val3,17,0.598,0.004,0.414,1.016
74,0,val1,11,0.394,0.006,0.617,1.017
75,0,val3,20,0.700,0.005,0.312,1.017
76,0,val3,23,0.803,0.006,0.209,1.017
77,0,val2,26,0.907,0.006,0.106,1.019
78,1,val2,5,0.196,0.004,0.820,1.020
79,1,val2,11,0.400,0.004,0.617,1.022
80,1,val1,8,0.298,0.004,0.720,1.022
81,1,val3,14,0.503,0.004,0.515,1.022
82,1,val3,17,0.605,0.005,0.414,1.024
83,1,val1,2,0.095,0.009,0.921,1.024
84,1,val3,20,0.709,0.006,0.310,1.024
85,1,val3,23,0.812,0.005,0.207,1.024
86,1,val2,26,0.915,0.006,0.104,1.025
87,3,val2,5,0.209,0.005,0.814,1.027
88,2,val3,5,0.202,0.004,0.822,1.029
89,2,val1,8,0.303,0.005,0.721,1.029
90,2,val1,11,0.405,0.004,0.620,1.029
91,2,val3,14,0.507,0.005,0.518,1.030
92,2,val1,2,0.101,0.009,0.920,1.030
93,2,val3,17,0.609,0.005,0.416,1.030
94,2,val1,20,0.712,0.007,0.312,1.031
95,2,val1,23,0.816,0.007,0.209,1.031
96,3,val1,8,0.312,0.004,0.717,1.032
97,2,val3,26,0.922,0.006,0.104,1.032
98,4,val2,5,0.216,0.004,0.815,1.036
99,3,val3,23,0.823,0.005,0.208,1.036
100,3,val2,26,0.926,0.004,0.106,1.037
101,3,val1,11,0.414,0.005,0.618,1.037
102,3,val1,14,0.517,0.005,0.517,1.039
103,3,val1,2,0.107,0.009,0.923,1.039
104,3,val1,20,0.721,0.006,0.312,1.040
105,3,val1,17,0.619,0.005,0.416,1.040
106,4,val3,8,0.318,0.004,0.719,1.040
107,4,val2,14,0.523,0.005,0.514,1.041
108,4,val3,2,0.114,0.009,0.920,1.042
109,4,val2,20,0.728,0.005,0.310,1.042
110,0,val3,6,0.224,0.004,0.816,1.045
111,4,val1,11,0.421,0.004,0.621,1.046
112,4,val1,17,0.624,0.006,0.417,1.047
113,4,val1,23,0.830,0.006,0.211,1.047
114,0,val1,3,0.121,0.005,0.925,1.051
115,0,val2,12,0.428,0.006,0.618,1.051
