id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,val3,0,0.023,0.006,0.102,0.131
1,0,val2,7,0.261,0.007,0.740,1.007
2,4,val2,18,0.663,0.006,0.339,1.008
3,3,val2,1,0.077,0.004,0.931,1.012
4,2,val1,25,0.891,0.010,0.107,1.009
5,4,val1,4,0.185,0.004,0.824,1.014
6,4,val1,1,0.083,0.006,0.925,1.014
7,4,val1,10,0.388,0.006,0.620,1.014
8,4,val1,19,0.697,0.006,0.311,1.015
9,1,val2,10,0.369,0.005,0.640,1.014
10,2,val2,22,0.787,0.007,0.219,1.014
11,0,val1,8,0.295,0.005,0.716,1.015
12,4,val1,13,0.491,0.006,0.519,1.016
13,4,val1,22,0.800,0.008,0.208,1.016
14,0,val1,5,0.192,0.005,0.820,1.017
15,0,val1,20,0.702,0.006,0.309,1.018
16,1,val2,4,0.166,0.004,0.849,1.019
17,0,val3,16,0.566,0.006,0.449,1.021
18,3,val2,7,0.281,0.005,0.731,1.017
19,1,val2,25,0.886,0.007,0.128,1.021
20,3,val2,4,0.179,0.004,0.839,1.022
21,3,val2,22,0.794,0.007,0.222,1.023
22,0,val3,2,0.090,0.004,0.927,1.021
23,1,val3,19,0.678,0.007,0.339,1.024
24,3,val2,19,0.690,0.006,0.328,1.024
25,0,val3,11,0.396,0.006,0.623,1.025
26,3,val2,25,0.896,0.009,0.121,1.026
27,0,val3,14,0.498,0.006,0.522,1.026
28,1,val1,2,0.098,0.005,0.926,1.028
29,0,val3,23,0.807,0.007,0.213,1.028
30,1,val1,5,0.200,0.005,0.824,1.029
31,0,val3,17,0.600,0.006,0.424,1.030
32,1,val2,11,0.402,0.005,0.622,1.029
33,0,val3,26,0.910,0.008,0.113,1.031
34,1,val2,17,0.608,0.006,0.417,1.032
35,1,val2,8,0.301,0.006,0.727,1.034
36,2,val1,2,0.105,0.004,0.926,1.035
37,2,val1,14,0.514,0.005,0.517,1.036
38,1,val2,26,0.919,0.009,0.108,1.036
39,3,val3,16,0.586,0.006,0.444,1.036
40,4,val3,7,0.287,0.005,0.746,1.037
41,1,val2,23,0.815,0.007,0.216,1.038
42,1,val3,20,0.713,0.006,0.320,1.039
43,3,val1,5,0.213,0.005,0.821,1.039
44,3,val3,13,0.484,0.005,0.552,1.040
45,3,val1,23,0.827,0.007,0.207,1.041
46,2,val2,11,0.411,0.007,0.624,1.042
47,3,val3,8,0.315,0.005,0.723,1.043
48,3,val1,26,0.930,0.009,0.104,1.043
49,1,val3,14,0.505,0.006,0.533,1.044
50,3,val2,17,0.620,0.008,0.415,1.044
