id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,3,val3,40,2.064,0.100,8.783,10.947
1,2,val3,53,2.706,0.027,8.216,10.949
2,0,val3,36,1.837,0.038,9.073,10.948
3,4,val3,24,1.273,0.029,9.647,10.950
4,4,val3,43,2.230,0.034,8.687,10.951
5,4,val3,6,0.363,0.023,10.566,10.952
6,3,val3,27,1.410,0.027,9.516,10.953
7,2,val3,23,1.198,0.033,9.724,10.955
8,4,val3,33,1.726,0.036,9.192,10.955
9,3,val3,3,0.202,0.023,10.730,10.954
10,1,val3,35,1.790,0.024,9.143,10.957
11,2,val3,40,2.052,0.066,8.838,10.956
12,4,val3,9,0.514,0.032,10.413,10.959
13,0,val3,7,0.374,0.034,10.551,10.959
14,3,val3,29,1.510,0.024,9.426,10.961
15,1,val3,40,2.041,0.096,8.821,10.959
16,2,val3,2,0.139,0.032,10.796,10.968
17,2,val3,18,0.947,0.038,9.987,10.972
18,0,val3,39,1.988,0.028,8.946,10.962
19,4,val3,21,1.122,0.023,9.819,10.964
20,1,val3,15,0.786,0.041,10.132,10.959
21,0,val3,22,1.133,0.033,9.809,10.975
22,3,val3,56,2.868,0.055,8.043,10.966
23,3,val3,57,2.919,0.051,7.999,10.969
24,2,val3,39,2.002,0.073,8.906,10.981
25,1,val3,9,0.484,0.023,10.455,10.962
26,0,val3,11,0.579,0.034,10.376,10.989
27,3,val3,0,0.049,0.026,10.899,10.974
28,4,val3,25,1.324,0.044,9.597,10.965
29,4,val3,39,2.027,0.071,8.875,10.973
30,1,val3,25,1.289,0.059,9.624,10.972
31,0,val3,54,2.742,0.078,8.180,11.001
32,3,val3,58,2.969,2.291,5.718,10.978
33,2,val3,38,1.952,0.029,9.005,10.986
34,2,val3,7,0.393,0.055,10.549,10.997
35,2,val3,12,0.645,0.026,10.327,10.998
36,4,val3,32,1.675,0.027,9.274,10.976
37,3,val3,22,1.159,0.029,9.807,10.995
38,3,val3,11,0.605,0.027,10.375,11.008
39,1,val3,29,1.489,0.023,9.475,10.987
40,0,val3,4,0.222,0.021,10.760,11.003
41,0,val3,24,1.233,0.025,9.748,11.006
42,2,val3,1,0.089,0.025,10.890,11.004
43,3,val3,9,0.504,0.025,10.497,11.025
44,3,val3,47,2.417,0.026,8.587,11.030
45,3,val3,50,2.568,0.080,8.390,11.038
46,4,val3,11,0.615,0.037,10.340,10.992
47,2,val3,50,2.555,0.094,8.357,11.005
48,3,val3,8,0.453,0.033,10.556,11.042
49,1,val3,43,2.191,0.049,8.759,10.999
50,0,val3,49,2.492,0.039,8.489,11.020
51,4,val3,47,2.430,0.034,8.559,11.023
52,2,val3,0,0.039,0.056,10.932,11.027
53,2,val3,33,1.700,0.042,9.289,11.031
54,2,val3,24,1.248,0.031,9.754,11.032
