id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,val2,0,0.020,0.026,-1744234552.191,-1744234552.145
1,1,val1,0,0.027,0.024,-1744234552.195,-1744234552.145
2,2,val3,0,0.034,0.031,-1744234552.209,-1744234552.145
3,3,val2,0,0.040,0.029,-1744234552.214,-1744234552.145
4,4,val1,0,0.047,0.026,-1744234552.218,-1744234552.145
5,0,val3,1,0.054,0.031,-1744234552.230,-1744234552.145
6,2,val2,1,0.068,0.024,-1744234552.237,-1744234552.145
7,4,val1,1,0.081,0.025,-1744234552.251,-1744234552.145
8,1,val3,1,0.061,0.047,-1744234552.253,-1744234552.145
9,3,val2,1,0.074,0.040,-1744234552.259,-1744234552.145
10,2,val3,2,0.103,0.028,-1744234552.275,-1744234552.145
11,3,val1,2,0.107,0.025,-1744234552.277,-1744234552.145
12,1,val2,2,0.095,0.042,-1744234552.281,-1744234552.145
13,0,val3,2,0.087,0.063,-1744234552.295,-1744234552.145
14,0,val1,3,0.121,0.034,-1744234552.299,-1744234552.145
15,4,val2,2,0.115,0.045,-1744234552.305,-1744234552.145
16,3,val3,3,0.141,0.035,-1744234552.321,-1744234552.145
17,1,val2,3,0.128,0.051,-1744234552.324,-1744234552.145
18,0,val1,4,0.155,0.029,-1744234552.329,-1744234552.145
19,2,val2,3,0.136,0.064,-1744234552.345,-1744234552.145
20,2,val1,4,0.169,0.036,-1744234552.350,-1744234552.145
21,4,val3,4,0.182,0.024,-1744234552.351,-1744234552.145
22,4,val2,3,0.148,0.072,-1744234552.365,-1744234552.145
23,1,val1,4,0.162,0.065,-1744234552.371,-1744234552.145
24,0,val3,5,0.189,0.042,-1744234552.377,-1744234552.145
25,3,val2,4,0.175,0.067,-1744234552.386,-1744234552.145
26,1,val1,5,0.195,0.053,-1744234552.393,-1744234552.145
27,3,val3,5,0.208,0.047,-1744234552.400,-1744234552.145
28,2,val2,5,0.203,0.063,-1744234552.411,-1744234552.145
29,4,val1,5,0.215,0.055,-1744234552.415,-1744234552.145
30,2,val2,6,0.236,0.050,-1744234552.431,-1744234552.145
31,0,val1,6,0.223,0.070,-1744234552.437,-1744234552.145
32,2,val3,7,0.270,0.032,-1744234552.446,-1744234552.145
33,1,val2,6,0.228,0.080,-1744234552.453,-1744234552.145
34,4,val1,6,0.248,0.065,-1744234552.459,-1744234552.145
35,0,val3,8,0.289,0.036,-1744234552.470,-1744234552.145
36,3,val2,6,0.242,0.088,-1744234552.474,-1744234552.145
37,1,val1,7,0.262,0.074,-1744234552.481,-1744234552.145
38,0,val3,9,0.323,0.027,-1744234552.494,-1744234552.145
39,3,val2,7,0.275,0.079,-1744234552.499,-1744234552.145
40,0,val1,7,0.256,0.102,-1744234552.503,-1744234552.145
41,2,val3,9,0.336,0.037,-1744234552.518,-1744234552.145
42,1,val2,8,0.295,0.083,-1744234552.522,-1744234552.145
43,4,val1,7,0.282,0.100,-1744234552.527,-1744234552.145
44,0,val3,10,0.356,0.038,-1744234552.539,-1744234552.145
45,4,val2,8,0.315,0.086,-1744234552.547,-1744234552.145
46,3,val1,8,0.309,0.096,-1744234552.549,-1744234552.145
47,2,val3,10,0.370,0.045,-1744234552.560,-1744234552.145
48,4,val2,9,0.349,0.074,-1744234552.568,-1744234552.145
49,2,val1,8,0.303,0.124,-1744234552.572,-1744234552.145
50,4,val3,10,0.383,0.054,-1744234552.582,-1744234552.145
51,3,val2,9,0.342,0.101,-1744234552.587,-1744234552.145
52,3,val1,10,0.375,0.077,-1744234552.598,-1744234552.145
53,3,val3,11,0.409,0.050,-1744234552.603,-1744234552.145
54,1,val2,9,0.328,0.136,-1744234552.609,-1744234552.145
55,1,val1,11,0.395,0.081,-1744234552.621,-1744234552.145
56,2,val3,11,0.403,0.076,-1744234552.624,-1744234552.145
57,1,val2,10,0.362,0.122,-1744234552.629,-1744234552.145
58,3,val3,12,0.443,0.057,-1744234552.645,-1744234552.145
59,0,val1,11,0.389,0.113,-1744234552.647,-1744234552.145
60,4,val2,11,0.416,0.089,-1744234552.650,-1744234552.145
61,1,val3,13,0.462,0.059,-1744234552.665,-1744234552.145
62,2,val2,12,0.437,0.092,-1744234552.673,-1744234552.145
63,0,val1,12,0.423,0.107,-1744234552.675,-1744234552.145
64,3,val3,13,0.476,0.067,-1744234552.688,-1744234552.145
65,4,val2,12,0.449,0.103,-1744234552.697,-1744234552.145
66,1,val1,12,0.429,0.125,-1744234552.699,-1744234552.145
67,3,val3,14,0.510,0.056,-1744234552.710,-1744234552.145
68,2,val2,14,0.503,0.071,-1744234552.719,-1744234552.145
69,2,val1,13,0.470,0.110,-1744234552.725,-1744234552.145
70,2,val3,15,0.537,0.050,-1744234552.732,-1744234552.145
71,1,val2,14,0.495,0.102,-1744234552.742,-1744234552.145
72,0,val1,13,0.456,0.150,-1744234552.751,-1744234552.145
73,0,val2,15,0.523,0.094,-1744234552.762,-1744234552.145
74,0,val3,17,0.590,0.032,-1744234552.767,-1744234552.145
75,4,val1,13,0.483,0.147,-1744234552.775,-1744234552.145
76,3,val2,15,0.544,0.094,-1744234552.783,-1744234552.145
77,1,val3,17,0.595,0.053,-1744234552.794,-1744234552.145
78,0,val1,14,0.490,0.165,-1744234552.799,-1744234552.145
79,4,val2,15,0.550,0.109,-1744234552.803,-1744234552.145
80,2,val3,17,0.603,0.070,-1744234552.819,-1744234552.145
81,2,val2,16,0.570,0.109,-1744234552.824,-1744234552.145
82,4,val1,14,0.516,0.163,-1744234552.824,-1744234552.145
83,2,val3,18,0.637,0.060,-1744234552.842,-1744234552.145
84,1,val2,16,0.562,0.139,-1744234552.846,-1744234552.145
85,1,val1,15,0.529,0.176,-1744234552.850,-1744234552.145
86,3,val3,18,0.644,0.073,-1744234552.862,-1744234552.145
87,0,val2,16,0.556,0.166,-1744234552.867,-1744234552.145
88,4,val1,17,0.616,0.112,-1744234552.873,-1744234552.145
89,0,val3,19,0.657,0.082,-1744234552.883,-1744234552.145
90,4,val2,16,0.583,0.160,-1744234552.888,-1744234552.145
91,4,val1,18,0.650,0.104,-1744234552.898,-1744234552.145
92,3,val2,16,0.577,0.188,-1744234552.910,-1744234552.145
93,1,val1,19,0.662,0.114,-1744234552.921,-1744234552.145
94,0,val3,18,0.623,0.160,-1744234552.928,-1744234552.145
95,4,val3,19,0.683,0.099,-1744234552.927,-1744234552.145
96,3,val2,17,0.610,0.176,-1744234552.931,-1744234552.145
97,2,val1,19,0.670,0.131,-1744234552.946,-1744234552.145
98,1,val2,18,0.629,0.176,-1744234552.950,-1744234552.145
99,0,val3,20,0.690,0.119,-1744234552.954,-1744234552.145
100,3,val2,19,0.677,0.150,-1744234552.972,-1744234552.145
101,1,val1,20,0.696,0.131,-1744234552.972,-1744234552.145
102,1,val3,23,0.797,0.038,-1744234552.980,-1744234552.145
103,2,val2,20,0.704,0.145,-1744234552.994,-1744234552.145
104,3,val1,20,0.711,0.143,-1744234552.999,-1744234552.145
105,0,val3,22,0.757,0.102,-1744234553.004,-1744234552.145
106,0,val2,21,0.723,0.147,-1744234553.015,-1744234552.145
107,4,val1,20,0.716,0.161,-1744234553.022,-1744234552.145
108,1,val3,24,0.830,0.052,-1744234553.027,-1744234552.145
109,1,val2,21,0.729,0.165,-1744234553.039,-1744234552.145
110,2,val1,21,0.737,0.160,-1744234553.042,-1744234552.145
111,2,val3,25,0.871,0.036,-1744234553.052,-1744234552.145
112,1,val1,22,0.763,0.156,-1744234553.064,-1744234552.145
113,4,val2,21,0.750,0.170,-1744234553.065,-1744234552.145
114,1,val3,25,0.863,0.069,-1744234553.077,-1744234552.145
115,0,val1,23,0.790,0.149,-1744234553.084,-1744234552.145
116,3,val2,21,0.744,0.196,-1744234553.085,-1744234552.145
117,3,val1,22,0.777,0.182,-1744234553.104,-1744234552.145
118,1,val3,27,0.930,0.030,-1744234553.105,-1744234552.145
119,4,val2,22,0.783,0.180,-1744234553.108,-1744234552.145
120,2,val1,23,0.804,0.176,-1744234553.125,-1744234552.145
121,2,val2,22,0.771,0.216,-1744234553.131,-1744234552.145
122,0,val3,28,0.958,0.031,-1744234553.134,-1744234552.145
123,0,val1,24,0.824,0.175,-1744234553.144,-1744234552.145
124,4,val2,23,0.817,0.192,-1744234553.154,-1744234552.145
125,2,val3,28,0.971,0.044,-1744234553.160,-1744234552.145
126,2,val1,24,0.837,0.182,-1744234553.164,-1744234552.145
127,3,val2,23,0.811,0.219,-1744234553.175,-1744234552.145
128,3,val3,28,0.978,0.063,-1744234553.185,-1744234552.145
129,0,val1,25,0.857,0.185,-1744234553.187,-1744234552.145
130,3,val2,24,0.844,0.207,-1744234553.196,-1744234552.145
131,3,val1,25,0.878,0.185,-1744234553.208,-1744234552.145
132,1,val3,28,0.964,0.105,-1744234553.214,-1744234552.145
133,4,val2,24,0.850,0.224,-1744234553.219,-1744234552.145
134,0,val1,26,0.890,0.193,-1744234553.229,-1744234552.145
135,3,val3,29,1.011,0.084,-1744234553.240,-1744234552.145
136,4,val2,25,0.884,0.215,-1744234553.244,-1744234552.145
137,2,val1,26,0.904,0.203,-1744234553.252,-1744234552.145
138,2,val3,29,1.004,0.116,-1744234553.265,-1744234552.145
139,3,val2,26,0.911,0.210,-1744234553.266,-1744234552.145
140,1,val1,26,0.897,0.233,-1744234553.274,-1744234552.145
141,3,val2,27,0.945,0.200,-1744234553.289,-1744234552.145
142,0,val3,29,0.991,0.153,-1744234553.289,-1744234552.145
143,4,val1,26,0.917,0.233,-1744234553.295,-1744234552.145
144,1,val2,29,0.997,0.170,-1744234553.312,-1744234552.145
145,4,val3,29,1.017,0.150,-1744234553.312,-1744234552.145
146,0,val1,27,0.924,0.250,-1744234553.318,-1744234552.145
147,1,val2,31,1.064,0.128,-1744234553.336,-1744234552.145
148,4,val1,27,0.951,0.243,-1744234553.338,-1744234552.145
149,0,val3,30,1.024,0.170,-1744234553.339,-1744234552.145
150,4,val2,31,1.084,0.130,-1744234553.360,-1744234552.145
151,2,val1,27,0.938,0.276,-1744234553.359,-1744234552.145
152,2,val3,30,1.038,0.181,-1744234553.364,-1744234552.145
153,4,val1,28,0.984,0.252,-1744234553.380,-1744234552.145
154,0,val2,32,1.091,0.145,-1744234553.381,-1744234552.145
155,1,val3,30,1.030,0.215,-1744234553.390,-1744234552.145
156,2,val2,32,1.105,0.154,-1744234553.403,-1744234552.145
157,4,val1,30,1.051,0.208,-1744234553.404,-1744234552.145
158,3,val3,30,1.045,0.230,-1744234553.420,-1744234552.145
159,3,val1,31,1.078,0.200,-1744234553.423,-1744234552.145
160,3,val2,32,1.112,0.172,-1744234553.429,-1744234552.145
161,0,val3,31,1.058,0.238,-1744234553.441,-1744234552.145
162,2,val1,31,1.071,0.231,-1744234553.447,-1744234552.145
163,0,val2,34,1.158,0.149,-1744234553.452,-1744234552.145
164,1,val3,32,1.097,0.216,-1744234553.458,-1744234552.145
165,0,val1,33,1.125,0.200,-1744234553.470,-1744234552.145
166,4,val3,32,1.118,0.215,-1744234553.478,-1744234552.145
167,1,val2,35,1.197,0.137,-1744234553.479,-1744234552.145
168,3,val1,33,1.146,0.203,-1744234553.494,-1744234552.145
169,1,val3,33,1.131,0.224,-1744234553.499,-1744234552.145
170,3,val2,36,1.246,0.110,-1744234553.501,-1744234552.145
171,2,val1,33,1.138,0.232,-1744234553.515,-1744234552.145
172,1,val3,34,1.164,0.211,-1744234553.520,-1744234552.145
173,4,val2,37,1.286,0.095,-1744234553.525,-1744234552.145
174,4,val1,33,1.152,0.242,-1744234553.539,-1744234552.145
175,3,val3,34,1.179,0.217,-1744234553.541,-1744234552.145
176,3,val2,38,1.313,0.095,-1744234553.553,-1744234552.145
177,4,val3,34,1.185,0.230,-1744234553.560,-1744234552.145
178,2,val1,34,1.171,0.248,-1744234553.564,-1744234552.145
179,2,val2,39,1.339,0.096,-1744234553.579,-1744234552.145
180,0,val1,35,1.192,0.248,-1744234553.584,-1744234552.145
181,2,val3,35,1.205,0.236,-1744234553.586,-1744234552.145
182,3,val3,35,1.212,0.249,-1744234553.607,-1744234552.145
183,4,val2,39,1.353,0.108,-1744234553.605,-1744234552.145
184,1,val1,36,1.231,0.233,-1744234553.608,-1744234552.145
