id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,2,val1,0,0.035,0.015,0.106,0.156
1,0,val3,0,0.021,0.027,0.118,0.166
2,2,val3,12,0.441,0.026,0.535,1.002
3,1,val3,12,0.433,0.022,0.547,1.003
4,4,val3,18,0.658,0.020,0.326,1.004
5,1,val3,24,0.839,0.044,0.122,1.005
6,0,val3,22,0.766,0.019,0.220,1.004
7,4,val1,25,0.894,0.016,0.106,1.016
8,4,val3,24,0.861,0.045,0.111,1.017
9,1,val1,16,0.570,0.024,0.423,1.017
10,3,val3,24,0.852,0.042,0.123,1.018
11,2,val3,22,0.777,0.020,0.222,1.018
12,4,val1,22,0.793,0.015,0.211,1.019
13,0,val1,14,0.494,0.016,0.514,1.025
14,3,val1,16,0.584,0.023,0.418,1.026
15,4,val3,12,0.456,0.026,0.552,1.034
16,3,val3,19,0.685,0.016,0.334,1.035
17,2,val3,2,0.103,0.062,0.870,1.035
18,1,val3,10,0.365,0.022,0.648,1.036
19,0,val3,10,0.359,0.017,0.660,1.036
20,1,val1,20,0.704,0.018,0.314,1.036
21,4,val3,6,0.250,0.015,0.772,1.037
22,3,val3,22,0.785,0.027,0.225,1.037
23,3,val3,10,0.382,0.019,0.637,1.038
24,3,val1,23,0.819,0.016,0.204,1.038
25,1,val1,11,0.400,0.016,0.624,1.039
26,0,val1,4,0.156,0.042,0.840,1.039
27,1,val3,13,0.468,0.026,0.546,1.040
28,2,val3,16,0.575,0.016,0.448,1.040
29,2,val3,7,0.271,0.019,0.750,1.040
30,1,val3,2,0.095,0.070,0.875,1.040
31,2,val1,1,0.070,0.023,0.948,1.041
32,2,val1,4,0.170,0.041,0.830,1.041
33,2,val1,17,0.610,0.016,0.416,1.042
34,1,val3,25,0.872,0.050,0.121,1.042
35,2,val1,14,0.508,0.017,0.517,1.043
36,1,val3,7,0.264,0.014,0.764,1.043
37,2,val1,20,0.710,0.025,0.319,1.054
38,4,val1,17,0.624,0.017,0.413,1.054
39,3,val3,0,0.041,0.029,0.984,1.054
40,3,val1,1,0.074,0.030,0.951,1.055
41,3,val1,14,0.518,0.020,0.518,1.055
42,3,val1,20,0.718,0.030,0.308,1.056
43,0,val3,23,0.800,0.026,0.229,1.055
44,2,val3,23,0.810,0.027,0.218,1.055
45,4,val3,3,0.149,0.032,0.874,1.054
46,1,val3,4,0.162,0.033,0.860,1.055
47,1,val3,0,0.028,0.056,0.975,1.058
48,4,val3,13,0.490,0.017,0.549,1.056
49,3,val3,17,0.618,0.017,0.423,1.058
50,0,val3,11,0.393,0.035,0.631,1.058
51,0,val3,20,0.698,0.017,0.345,1.060
52,4,val3,10,0.387,0.026,0.644,1.057
53,2,val1,5,0.203,0.022,0.831,1.056
54,4,val3,7,0.283,0.020,0.756,1.059
55,2,val3,26,0.911,0.036,0.111,1.059
56,2,val2,8,0.305,0.026,0.731,1.062
57,4,val3,4,0.183,0.025,0.852,1.060
58,3,val2,5,0.210,0.018,0.833,1.061
59,4,val2,11,0.421,0.015,0.624,1.060
60,4,val3,0,0.048,0.048,0.966,1.061
61,2,val2,11,0.406,0.016,0.641,1.064
62,4,val2,14,0.524,0.016,0.524,1.064
63,1,val2,14,0.502,0.018,0.545,1.065
64,4,val2,20,0.726,0.017,0.322,1.065
65,1,val2,8,0.297,0.022,0.746,1.066
66,1,val2,17,0.604,0.028,0.434,1.066
67,1,val2,5,0.196,0.017,0.854,1.067
68,1,val2,21,0.738,0.020,0.310,1.067
69,2,val1,21,0.743,0.020,0.310,1.073
70,4,val1,1,0.081,0.047,0.944,1.072
71,0,val1,9,0.325,0.016,0.733,1.074
72,1,val1,18,0.638,0.016,0.421,1.075
73,3,val3,11,0.416,0.025,0.634,1.075
74,1,val1,15,0.536,0.016,0.524,1.075
75,4,val3,5,0.216,0.019,0.840,1.075
76,0,val3,24,0.833,0.016,0.228,1.077
77,4,val3,23,0.827,0.033,0.230,1.090
78,2,val3,18,0.643,0.022,0.426,1.091
79,3,val1,21,0.752,0.026,0.314,1.092
80,1,val1,9,0.331,0.023,0.738,1.092
81,2,val3,6,0.237,0.015,0.841,1.093
82,2,val3,24,0.845,0.027,0.222,1.093
83,0,val3,21,0.732,0.018,0.343,1.093
84,3,val1,12,0.449,0.015,0.629,1.093
85,4,val3,8,0.318,0.015,0.759,1.093
86,0,val3,5,0.190,0.031,0.873,1.094
87,3,val1,2,0.108,0.033,0.958,1.099
