id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,val3,0,0.022,0.028,0.112,0.161
1,1,val1,0,0.029,0.019,0.209,0.257
2,3,val3,9,0.347,0.016,0.629,0.992
3,1,val3,6,0.231,0.021,0.740,0.993
4,0,val3,16,0.563,0.016,0.415,0.993
5,2,val3,12,0.447,0.027,0.521,0.994
6,2,val3,0,0.036,0.037,0.949,1.022
7,3,val3,16,0.583,0.022,0.417,1.023
8,4,val3,6,0.253,0.015,0.754,1.021
9,0,val3,10,0.361,0.026,0.637,1.024
10,1,val3,16,0.569,0.024,0.430,1.023
11,3,val3,19,0.684,0.017,0.325,1.026
12,4,val3,3,0.150,0.024,0.852,1.026
13,4,val3,22,0.795,0.020,0.211,1.026
14,3,val3,12,0.450,0.037,0.541,1.027
15,1,val3,3,0.130,0.030,0.868,1.028
16,0,val3,1,0.055,0.031,0.942,1.028
17,1,val3,10,0.367,0.033,0.629,1.029
18,4,val3,9,0.355,0.021,0.653,1.029
19,0,val3,4,0.158,0.027,0.845,1.029
20,2,val3,22,0.783,0.017,0.227,1.027
21,4,val1,21,0.761,0.041,0.228,1.030
22,1,val3,13,0.467,0.032,0.531,1.030
23,1,val3,4,0.163,0.035,0.833,1.031
24,0,val3,8,0.293,0.019,0.719,1.032
25,0,val3,11,0.395,0.020,0.618,1.032
26,1,val1,19,0.670,0.027,0.336,1.032
27,3,val3,4,0.178,0.032,0.823,1.033
28,0,val1,13,0.462,0.017,0.554,1.033
29,2,val1,19,0.683,0.026,0.326,1.035
30,3,val1,22,0.784,0.029,0.223,1.036
31,1,val1,1,0.063,0.019,0.955,1.037
32,0,val3,17,0.598,0.031,0.408,1.037
33,3,val3,1,0.076,0.022,0.940,1.038
34,0,val1,3,0.124,0.030,0.883,1.038
35,4,val3,16,0.593,0.026,0.419,1.038
36,0,val1,7,0.259,0.032,0.747,1.038
37,0,val1,23,0.800,0.028,0.213,1.040
38,3,val1,13,0.483,0.027,0.532,1.042
39,2,val1,13,0.481,0.016,0.546,1.043
40,3,val2,14,0.516,0.017,0.515,1.048
41,3,val2,23,0.819,0.018,0.212,1.049
42,3,val2,20,0.717,0.022,0.311,1.049
43,2,val2,8,0.308,0.017,0.724,1.050
44,0,val2,2,0.089,0.024,0.937,1.050
45,0,val2,5,0.191,0.038,0.824,1.052
46,4,val1,7,0.287,0.031,0.740,1.057
47,3,val1,17,0.617,0.016,0.425,1.058
48,0,val1,14,0.495,0.029,0.534,1.059
49,2,val1,7,0.275,0.031,0.754,1.060
50,1,val1,20,0.703,0.019,0.336,1.058
51,2,val1,23,0.817,0.024,0.219,1.060
52,0,val1,20,0.700,0.037,0.325,1.061
53,4,val1,23,0.828,0.026,0.208,1.062
54,1,val2,5,0.197,0.019,0.848,1.064
55,4,val2,20,0.727,0.023,0.316,1.066
56,1,val2,11,0.400,0.032,0.635,1.066
57,2,val1,14,0.515,0.024,0.528,1.066
58,0,val2,18,0.631,0.017,0.418,1.067
59,4,val2,5,0.219,0.021,0.830,1.070
60,4,val3,1,0.083,0.038,0.950,1.072
61,2,val3,20,0.716,0.015,0.341,1.073
62,0,val3,6,0.224,0.015,0.835,1.074
63,3,val3,8,0.314,0.019,0.740,1.072
64,1,val3,24,0.838,0.015,0.222,1.075
65,2,val3,11,0.412,0.017,0.647,1.076
66,4,val3,8,0.320,0.024,0.730,1.075
67,3,val3,5,0.212,0.016,0.848,1.076
68,2,val3,17,0.616,0.026,0.434,1.077
69,1,val3,2,0.096,0.037,0.944,1.077
70,4,val3,17,0.627,0.029,0.424,1.080
71,0,val3,12,0.428,0.019,0.631,1.078
72,2,val3,24,0.852,0.017,0.212,1.081
73,2,val3,15,0.549,0.016,0.519,1.083
74,3,val3,18,0.650,0.020,0.412,1.082
75,1,val3,12,0.433,0.026,0.623,1.082
76,3,val1,2,0.110,0.020,0.960,1.089
77,4,val1,14,0.526,0.026,0.537,1.089
78,1,val1,21,0.737,0.028,0.325,1.090
79,0,val1,24,0.834,0.031,0.226,1.091
80,2,val1,6,0.241,0.015,0.834,1.090
81,4,val1,11,0.424,0.017,0.651,1.092
82,3,val2,11,0.415,0.029,0.649,1.093
83,1,val2,9,0.332,0.024,0.737,1.093
84,1,val1,8,0.299,0.032,0.763,1.094
85,0,val2,9,0.327,0.016,0.752,1.094
86,4,val1,2,0.117,0.027,0.949,1.092
