id,pid,host,nonce,sent_time,time_to_send,time_to_rcpt,recv_time
0,0,1,0,0.016,0.007,0.103,0.126
1,1,0,0,0.024,0.013,0.104,0.141
2,1,0,17,0.561,0.012,0.518,1.090
3,1,0,11,0.372,0.007,0.712,1.091
4,1,0,4,0.150,0.006,0.936,1.092
5,1,0,5,0.183,0.008,0.901,1.092
6,1,0,1,0.056,0.010,1.027,1.092
7,1,0,8,0.277,0.012,0.804,1.093
8,1,0,12,0.403,0.007,0.683,1.093
9,2,0,0,0.032,0.016,1.045,1.093
10,3,0,20,0.670,0.011,0.413,1.094
11,0,0,8,0.268,0.009,0.816,1.094
12,0,0,5,0.173,0.006,0.917,1.096
13,0,0,24,0.774,0.012,0.312,1.098
14,1,0,22,0.719,0.008,0.372,1.100
15,1,0,7,0.245,0.007,0.848,1.100
16,0,0,15,0.489,0.012,0.599,1.100
17,2,0,16,0.540,0.030,0.524,1.095
18,3,0,1,0.072,0.006,1.023,1.102
19,1,0,13,0.435,0.005,0.660,1.100
20,0,0,19,0.614,0.008,0.479,1.101
21,2,0,4,0.159,0.007,0.936,1.102
22,3,0,7,0.263,0.005,0.835,1.103
23,1,0,10,0.341,0.008,0.752,1.101
24,0,0,3,0.111,0.008,0.983,1.102
25,2,0,17,0.572,0.011,0.528,1.111
26,3,0,24,0.797,0.009,0.298,1.103
27,0,0,16,0.520,0.025,0.557,1.102
28,2,0,1,0.065,0.006,1.040,1.111
29,0,0,7,0.237,0.008,0.868,1.113
30,3,0,21,0.702,0.008,0.396,1.106
31,0,0,17,0.552,0.011,0.551,1.114
32,2,0,8,0.285,0.013,0.813,1.111
33,2,0,5,0.190,0.010,0.912,1.112
34,2,0,2,0.096,0.007,1.010,1.112
35,2,0,15,0.508,0.010,0.594,1.112
36,3,0,5,0.199,0.009,0.898,1.106
37,2,0,9,0.318,0.009,0.786,1.113
38,3,0,18,0.608,0.009,0.491,1.108
39,2,0,26,0.855,0.009,0.249,1.113
40,3,0,26,0.860,0.008,0.246,1.114
41,3,0,12,0.420,0.006,0.689,1.115
42,3,0,9,0.325,0.010,0.780,1.115
43,2,1,13,0.445,0.007,0.827,1.280
44,2,1,3,0.128,0.006,1.151,1.284
45,2,1,7,0.253,0.006,1.026,1.286
46,1,1,3,0.118,0.009,1.169,1.296
47,1,1,20,0.657,0.009,0.637,1.303
48,1,1,6,0.214,0.010,1.082,1.307
49,1,1,2,0.087,0.006,1.216,1.309
50,1,1,16,0.530,0.022,0.758,1.310
51,1,1,9,0.308,0.009,0.993,1.311
52,1,1,21,0.688,0.009,0.615,1.311
53,2,2,6,0.222,0.011,1.079,1.312
54,1,1,19,0.624,0.009,0.679,1.312
55,2,1,10,0.350,0.009,0.954,1.313
56,2,1,19,0.635,0.011,0.668,1.314
57,2,2,23,0.761,0.011,0.542,1.315
58,2,2,24,0.793,0.010,0.513,1.315
59,0,1,27,0.868,0.008,0.440,1.316
60,2,2,20,0.666,0.010,0.644,1.319
61,3,1,23,0.765,0.013,0.546,1.324
62,2,2,11,0.382,0.009,0.930,1.321
63,2,2,21,0.698,0.009,0.614,1.321
64,2,1,14,0.476,0.012,0.834,1.322
65,2,2,18,0.603,0.009,0.711,1.323
66,2,2,12,0.413,0.006,0.905,1.324
67,2,2,25,0.824,0.010,0.491,1.325
68,2,2,22,0.730,0.007,0.589,1.325
69,3,1,3,0.135,0.006,1.184,1.325
70,3,1,13,0.452,0.012,0.863,1.327
71,0,1,14,0.457,0.010,0.860,1.327
72,1,1,15,0.498,0.011,0.816,1.325
73,1,2,14,0.467,0.007,0.851,1.325
74,1,1,26,0.845,0.008,0.473,1.326
75,1,2,24,0.781,0.011,0.535,1.327
76,1,2,18,0.592,0.009,0.729,1.329
77,1,2,23,0.750,0.010,0.569,1.330
78,0,1,11,0.362,0.008,0.958,1.329
79,1,2,25,0.815,0.009,0.510,1.334
80,0,2,1,0.047,0.015,1.267,1.329
81,0,1,21,0.678,0.007,0.647,1.332
82,0,2,18,0.583,0.008,0.741,1.332
83,0,1,6,0.205,0.009,1.118,1.333
84,0,2,25,0.805,0.010,0.518,1.333
85,0,2,2,0.079,0.007,1.248,1.334
86,0,1,10,0.331,0.010,0.995,1.335
87,3,2,10,0.357,0.010,0.962,1.328
88,3,2,4,0.167,0.007,1.156,1.329
89,3,1,16,0.545,0.025,0.760,1.330
90,3,2,6,0.230,0.010,1.091,1.331
91,3,1,2,0.104,0.007,1.220,1.331
92,3,2,8,0.294,0.012,1.025,1.332
93,3,1,0,0.040,0.020,1.272,1.332
94,3,2,17,0.576,0.009,0.748,1.333
95,3,1,22,0.733,0.007,0.593,1.333
96,3,2,11,0.388,0.011,0.934,1.333
97,3,1,14,0.483,0.013,0.838,1.334
98,3,2,15,0.514,0.010,0.811,1.335
99,3,2,25,0.828,0.009,0.500,1.336
100,0,1,4,0.142,0.006,1.189,1.336
101,0,2,12,0.395,0.010,0.932,1.337
102,0,2,22,0.710,0.008,0.620,1.338
103,0,2,9,0.300,0.012,1.027,1.339
104,0,2,26,0.837,0.009,0.493,1.340
105,0,2,23,0.742,0.010,0.589,1.340
106,0,2,13,0.426,0.006,0.909,1.341
107,0,2,20,0.646,0.010,0.686,1.342
108,3,2,19,0.639,0.009,0.691,1.338
109,1,0,46,1.469,0.007,0.953,2.429
110,0,0,36,1.146,0.006,1.276,2.428
111,0,0,52,1.665,0.014,0.752,2.430
112,1,0,39,1.249,0.005,1.176,2.430
113,1,0,53,1.692,0.011,0.727,2.431
114,1,0,44,1.406,0.007,1.018,2.431
115,0,0,39,1.241,0.005,1.185,2.431
116,0,0,43,1.377,0.011,1.044,2.432
117,3,0,40,1.309,0.028,1.097,2.434
118,2,0,52,1.677,0.007,0.750,2.434
119,1,0,29,0.938,0.055,1.443,2.436
120,2,0,42,1.361,0.020,1.054,2.436
121,1,0,43,1.374,0.011,1.051,2.437
122,0,0,47,1.503,0.015,0.918,2.436
123,0,0,56,1.790,0.009,0.640,2.438
124,2,0,39,1.260,0.006,1.174,2.440
125,0,0,28,0.899,0.100,1.440,2.439
126,1,0,48,1.531,0.015,0.891,2.438
127,2,0,56,1.802,0.006,0.632,2.441
128,2,0,36,1.165,0.008,1.271,2.444
129,0,0,57,1.821,0.013,0.611,2.445
130,0,0,40,1.272,0.043,1.131,2.446
131,0,0,37,1.177,0.014,1.256,2.447
132,2,0,50,1.613,0.006,0.825,2.445
133,2,0,49,1.583,0.007,0.859,2.449
134,1,0,37,1.186,0.011,1.253,2.449
135,0,0,45,1.440,0.006,1.001,2.448
136,2,0,57,1.834,0.015,0.600,2.450
137,1,0,35,1.124,0.006,1.320,2.450
138,2,0,32,1.042,0.037,1.372,2.451
139,1,0,51,1.625,0.010,0.815,2.451
140,2,0,38,1.229,0.006,1.217,2.452
141,2,0,53,1.708,0.006,0.738,2.452
142,0,0,34,1.085,0.029,1.336,2.450
143,1,0,38,1.217,0.007,1.227,2.451
144,3,0,27,0.893,0.102,1.461,2.456
145,2,0,58,1.866,0.011,0.581,2.458
146,3,0,46,1.498,0.016,0.943,2.457
147,2,0,37,1.197,0.010,1.251,2.458
148,3,0,28,0.923,0.152,1.383,2.458
149,2,0,54,1.739,0.009,0.710,2.459
150,3,0,31,1.016,0.067,1.377,2.459
151,2,0,35,1.134,0.006,1.319,2.459
152,3,0,56,1.820,0.010,0.630,2.460
153,3,0,54,1.756,0.009,0.696,2.461
154,3,0,50,1.624,0.009,0.828,2.462
155,3,1,44,1.433,0.009,1.197,2.640
156,3,1,38,1.233,0.006,1.401,2.640
157,3,1,41,1.339,0.028,1.276,2.643
158,2,1,34,1.103,0.081,1.459,2.643
159,3,1,49,1.593,0.007,1.046,2.647
160,3,1,43,1.402,0.006,1.246,2.655
161,2,1,31,1.010,0.005,1.639,2.655
162,3,2,37,1.201,0.012,1.443,2.655
163,3,2,51,1.662,0.013,0.984,2.658
164,2,1,48,1.550,0.005,1.104,2.660
165,2,1,33,1.073,0.106,1.482,2.661
166,2,1,45,1.456,0.006,1.199,2.661
167,3,2,35,1.139,0.059,1.463,2.661
168,2,1,41,1.330,0.012,1.322,2.663
169,3,1,55,1.788,0.008,0.867,2.663
170,2,1,51,1.645,0.014,1.005,2.665
171,3,2,48,1.562,0.006,1.097,2.664
172,1,1,33,1.062,0.005,1.597,2.665
173,2,2,30,0.980,0.007,1.679,2.665
174,3,2,52,1.693,0.007,0.965,2.665
175,3,2,45,1.465,0.006,1.203,2.675
176,1,2,27,0.876,0.009,1.780,2.665
177,0,2,44,1.409,0.006,1.258,2.672
178,1,1,54,1.726,0.011,0.931,2.668
179,2,1,55,1.771,0.013,0.883,2.666
180,2,2,47,1.519,0.010,1.139,2.667
181,2,2,29,0.949,0.007,1.713,2.669
182,2,2,27,0.887,0.016,1.767,2.669
183,2,2,28,0.918,0.012,1.742,2.672
184,2,2,44,1.424,0.007,1.241,2.673
185,0,2,54,1.727,0.011,0.939,2.677
186,3,1,34,1.108,0.078,1.493,2.679
187,3,2,42,1.371,0.013,1.297,2.681
188,3,1,57,1.852,0.009,0.820,2.682
189,3,1,36,1.170,0.015,1.497,2.683
190,3,2,53,1.725,0.011,0.948,2.684
191,3,2,30,0.985,0.007,1.693,2.685
192,3,2,39,1.265,0.024,1.396,2.685
